Campus,Login_LDAP,Genre,Dernier diplôme obtenu,Note test TP,Note contrôle continu,Moyenne
Brest,2412,Masculin,Réseaux et Télécommunications,7.55,16.18,10.14
Brest,247,Féminin,Réseaux et Télécommunications,10.21,16.43,12.08
Brest,2425,Masculin,Réseaux et Télécommunications,15.81,17.69,16.37
Brest,2449,Masculin,Génie Électrique et Informatique Industrielle,15.1,14.82,15.02
Brest,246,Masculin,Réseaux et Télécommunications,17.99,17.53,17.85
Brest,2443,Masculin,Réseaux et Télécommunications,12.74,16.51,13.87
Brest,2441,Masculin,Réseaux et Télécommunications,8.72,13.95,10.29
Brest,2440,Masculin,Réseaux et Télécommunications,10.96,14.95,12.16
Brest,245,Féminin,Réseaux et Télécommunications,10.5,11.43,10.78
Brest,2416,Masculin,Réseaux et Télécommunications,9.06,17.08,11.46
Brest,2422,Masculin,Réseaux et Télécommunications,9.3,16.25,11.38
Brest,2410,Masculin,Réseaux et Télécommunications,16.56,16.74,16.61
Brest,2414,Masculin,Réseaux et Télécommunications,10.94,14.53,12.02
Brest,2445,Masculin,Réseaux et Télécommunications,9.91,16.48,11.88
Brest,2433,Masculin,Réseaux et Télécommunications,7.39,16.48,10.12
Brest,2442,Masculin,Génie Électrique et Informatique Industrielle,13.472,16.57,14.4
Brest,2421,Masculin,Réseaux et Télécommunications,14.25,16.74,15.0
Brest,2434,Féminin,Réseaux et Télécommunications,8.07,19.51,11.5
Brest,2413,Masculin,Mesures Physiques,8.506,16.12,10.79
Brest,2432,Masculin,Génie Électrique et Informatique Industrielle,8.42,14.53,10.25
Brest,2427,Masculin,Réseaux et Télécommunications,12.84,16.51,13.94
Brest,2446,Masculin,Génie Électrique et Informatique Industrielle,10.56,16.74,12.41
Brest,2430,Masculin,Réseaux et Télécommunications,13.61,17.69,14.83
Brest,2436,Masculin,Réseaux et Télécommunications,11.8,17.85,13.61
Brest,2444,Masculin,Génie Électrique et Informatique Industrielle,12.64,16.25,13.72
Brest,2439,Masculin,Réseaux et Télécommunications,5.688,15.47,8.62
Brest,2431,Masculin,Mesures Physiques,10.09,17.08,12.19
Brest,2429,Masculin,Génie Électrique et Informatique Industrielle,7.29,14.95,9.59
Brest,2435,Masculin,Réseaux et Télécommunications,9.87,17.02,12.02
Brest,2447,Masculin,Réseaux et Télécommunications,12.7,16.67,13.89
Brest,2420,Masculin,Informatique,14.77,16.74,15.36
Brest,2411,Masculin,Mesures Physiques,9.55,12.85,10.54
Brest,2438,Masculin,Réseaux et Télécommunications,17.43,17.85,17.55
Brest,2418,Masculin,CPGE,18.36,19.51,18.7
Brest,249,Masculin,CPGE,15.25,16.57,15.65
Brest,2437,Masculin,Réseaux et Télécommunications,7.93,13.95,9.74
Brest,2417,Féminin,Réseaux et Télécommunications,7.208,16.67,10.05
Brest,2423,Masculin,Réseaux et Télécommunications,10.56,17.02,12.5
Brest,241,Masculin,Réseaux et Télécommunications,16.63,16.43,16.57
Brest,2419,Masculin,Réseaux et Télécommunications,8.42,15.47,10.54
Brest,2426,Masculin,Réseaux et Télécommunications,10.29,12.85,11.06
Brest,2415,Masculin,Réseaux et Télécommunications,7.19,16.12,9.87
