Campus courant;Login_LDAP;Genre;Dernier diplôme obtenu;Etablissement l'année précédente;Note test TP;Note contrôle continu;Moyenne
Brest;2412;Masculin;DUT Réseaux et Télécommunications;IUT site d'Elbeuf, Université de Rouen Normandie;7,55;16,18;10,14
Brest;247;Féminin;DUT Réseaux et Télécommunications;IUT de Nice Côte d'Azur- Site de Sophia-Antipolis, Université Côte d'Azur;10,21;16,43;12,08
Brest;2425;Masculin;DUT réseau et télécom;IUT 1 (campus - Saint-Martin-d'Hères), Université Grenoble Alpes;15,81;17,69;16,37
Brest;2449;Masculin;DUT Génie Electrique et Informatique Industrielle;IUT de Toulon Site de La Garde, Université de Toulon;15,1;14,82;15,02
Brest;246;Masculin;DUT Réseaux et Télécommunications;IUT de Belfort-Montbeliard, site de Montbeliard, Université de Franche-Comté;17,99;17,53;17,85
Brest;2443;Masculin;DUT Réseaux & Télécoms;IUT de Poitiers-Châtellerault-Niort, Université de Poitiers;12,74;16,51;13,87
Brest;2441;Masculin;DUT Réseaux & Télécommunications;IUT de Saint-Malo, Université de Rennes 1;8,72;13,95;10,29
Brest;2440;Masculin;DUT Réseaux et Télécommunications;IUT de Saint-Malo, Université de Rennes 1;10,96;14,95;12,16
Brest;245;Féminin;DUT Réseaux & Télécommunication en alternance;IUT de Saint-Malo, Université de Rennes 1, Saint-Malo;10,5;11,43;10,78
Brest;2416;Masculin;DUT Réseaux et Télécoms;IUT de Lannion, Université de Rennes 1;9,06;17,08;11,46
Brest;2422;Masculin;DUT Réseaux Télécommunications;IUT de Saint-Malo, Université de Rennes 1;9,3;16,25;11,38
Brest;2410;Masculin;DUT Réseaux et télécommunications;IUT 1 (campus - Saint-Martin-d'Hères), Université Grenoble Alpes);16,56;16,74;16,61
Brest;2414;Masculin;DUT Réseaux et Telécommunications;IUT de Vélizy, Versailles Saint-Quentin-en-Yvelines;10,94;14,53;12,02
Brest;2445;Masculin;DUT Réseaux et télécommunications;IUT de La Rochelle, La Rochelle;9,91;16,48;11,88
Brest;2433;Masculin;DUT Réseaux et Télécommunications;IUT de La Rochelle, La Rochelle Université;7,39;16,48;10,12
Brest;2442;Masculin;DUT Génie Électrique et Informatique Industrielle;IUT Grand Ouest Normandie -  Université de Caen Normandie;13,472;16,57;14,40
Brest;2421;Masculin;DUT Réseaux et Télécommunications;IUT de Blagnac, Université Toulouse - Jean Jaurès;14,25;16,74;15,00
Brest;2434;Féminin;DUT télécommunication et réseaux;IUT site d'Elbeuf, Université de Rouen Normandie;8,07;19,51;11,50
Brest;2413;Masculin;DUT mesures physiques;IUT de Lannion, Université de Rennes 1;8,506;16,12;10,79
Brest;2432;Masculin;DUT GEII;IUT de Rennes, Université de Rennes 1;8,42;14,53;10,25
Brest;2427;Masculin;DUT réseaux et télécommunications;IUT de Poitiers-Châtellerault-Niort, Université de Poitiers;12,84;16,51;13,94
Brest;2446;Masculin;DUT en GEII;IUT de Cachan, Université Paris-Saclay (ex Paris-Sud);10,56;16,74;12,41
Brest;2430;Masculin;DUT Réseaux et Télécommunications;IUT de Vélizy, Université de Versailles Saint-Quentin-en-Yvelines;13,61;17,69;14,83
Brest;2436;Masculin;DUT Réseaux et Télécommunications;IUT de Saint-Malo, Université de Rennes 1;11,8;17,85;13,61
Brest;2444;Masculin;DUT Génie Electrique et Informatique Industrielle en alternance;IUT de Toulon Site de La Garde, Université de Toulon;12,64;16,25;13,72
Brest;2439;Masculin;DUT Réseaux & Télécommunications;IUT de Saint-Malo, Université de Rennes 1;5,688;15,47;8,62
Brest;2431;Masculin;DUT Mesures Physiques;IUT d'Orsay, Université Paris-Saclay (ex Paris-Sud);10,09;17,08;12,19
Brest;2429;Masculin;DUT Génie électrique et informatique industrielle (GEII);IUT de Rennes, Rennes;7,29;14,95;9,59
Brest;2435;Masculin;DUT réseaux et télécommunications;IUT de Saint-Malo, Université de Rennes 1;9,87;17,02;12,02
Brest;2447;Masculin;DUT Réseaux et Télécommunications;IUT de Saint-Malo, Université de Rennes 1;12,7;16,67;13,89
Brest;2420;Masculin;DUT informatique;IUT d'Aix Marseille - site d'Aix-en-Provence;14,77;16,74;15,36
