Campus;Login_LDAP;Genre;Dernier diplôme obtenu;Etablissement l'année précédente;Note test TP;Note contrôle continu;Moyenne
Brest;259;Masculin;Attestation délivrée à la suite d'un cursus en CPGE;Supmicrotech-ENSMM;10,60;13,12;11,36
Brest;253;Féminin;Génie Electrique et Informatique Industrielle;IUT Cachan Université Paris-Saclay: Cachan (94235);12,54;14,95;13,26
Brest;2524;Masculin;DUT Informatique (Parcours DACS);IUT Paris Descartes: Paris (75008);18,19;19,70;18,64
Brest;2518;Masculin;DUT Réseaux et Télécommunications;IUT Lannion, Lannion (22303);13,98;13,36;13,79
Rennes;2536;Masculin;DUT (BUT2) Réseaux et Télécommunications Parcours Réseaux Opérateurs et Mulitmédias;IUT Grand Ouest Normandie - Pôle Caen - Site Ifs: Ifs (14123);19,31;18,45;19,05
Brest;2554;Masculin;DUT Réseaux et Télécoms;IUT Saint-Malo: Saint-Malo (35407);15,75;13,86;15,18
Rennes;2574;Masculin;DUT R&T;IUT Saint-Malo;18,47;17,60;18,21
Rennes;2570;Masculin;DUT Réseaux et télécommunications;IUT Rouen - Site Elbeuf: Elbeuf (76504);13,46;15,21;13,99
Brest;2525;Masculin;DUT Génie Electrique et Informatique Industrielle;IUT Cachan Université Paris-Saclay: Cachan (94235);15,45;16,53;15,77
Brest;2545;Masculin;DUT Réseaux et Télécommunications;IUT Lannion: Lannion (22303);9,41;13,29;10,57
Rennes;2568;Féminin;DUT Réseaux et Télécommunications;IUT Velizy: Vélizy-Villacoublay (78140);15,29;14,60;15,08
Rennes;2569;Masculin;DUT Nouvelle formule Informatique;IUT Bordeaux - Site Bordeaux - Gradignan, Gradignan (33170);15,59;16,00;15,71
Brest;2546;Féminin;Licence en sciences et technologies de l'information et de la communication spécialité sécurité des réseaux;Institut Supérieur des études technologiques en Communications de Tunis;14,63;16,17;15,09
Brest;2550;Masculin;Bachelor Universitaire de Technologie – Informatique (BUT);IUT Paris Descartes: Paris (75008);18,85;14,67;17,60
Rennes;2567;Masculin;DUT Réseaux et Télécommunications parcours Cybersércurité;IUT Velizy: Vélizy-Villacoublay (78140);15,79;14,90;15,52
Brest;2522;Masculin;"DUT Informatique Parcours ""Réalisation d'applications : conception, développement, validation""";IUT Lannion: Lannion (22303);16,96;19,11;17,61
Brest;2544;Masculin;Réseaux et Télécommunications;IUT Saint-Malo: Saint-Malo (35407);10,50;13,99;11,55
Brest;2513;Masculin;GEII;IUT Toulon: La Garde (38520);15,88;14,03;15,33
Rennes;2566;Masculin;BUT Génie Electrique et Informatique Industriel;IUT Brest: Brest (29802);13,84;16,58;14,66
Rennes;2535;Masculin;DUT GEII;IUT Cachan Université Paris-Saclay: Cachan (94235);16,88;17,36;17,02
Brest;2533;Masculin;DUT Génie Electrique et Informatique Industrielle;IUT Vélizy;9,79;17,69;12,16
Brest;2547;Masculin;CPGE MP;Lycée Sainte-Ann, Brest (29802);12,57;13,12;12,74
Brest;2512;Masculin;DUT Réseaux & Télécom;IUT Saint-Malo: Saint-Malo (35407);11,29;14,08;12,13
Brest;2556;Féminin;DUT en télécommunications et réseaux;ecole superieure polytechnique de Dakar;17,94;16,00;17,36
Brest;2527;Masculin;CPGE TSI;Lycée et section d'enseignement professionnel Saint-Joseph La Salle: Lorient (56100);14,52;18,61;15,75
Rennes;2573;Masculin;DUT Réseaux Télécoms SAINT MALO;IUT Saint-Malo: Saint-Malo (35407);17,24;16,73;17,09
Brest;2553;Masculin;Classe ATS;Lycée et section d'enseignement professionnel Marcel Callo: Redon (35603);14,56;13,29;14,18
Brest;2510;Masculin;CPGE TSI;Lycée Aristide Briand: Saint-Nazaire (44606);14,58;17,64;15,50
Brest;2529;Masculin;DUT réseaux et télécommunications;IUT Lannion: Lannion (22303);16,08;19,70;17,17
Brest;2543;Masculin;DUT Réseaux et Télécommunications;IUT Saint-Malo: Saint-Malo (35407);16,88;16,64;16,81
Brest;2540;Masculin;DUT Réseaux, Télécoms et développement Cloud;IUT Rouen - Site Elbeuf: Elbeuf (76504);11,29;14,72;12,32
Rennes;2562;Masculin;BTS Systèmes numériques option A : Informatique et réseaux;Lycée Thomas Edison: Lorgues (83510);18,81;17,48;18,41
Brest;2521;Masculin;IUT GEII;IUT Cachan Université Paris-Saclay, Cachan (94235);12,95;17,69;14,37
Brest;2548;Féminin;"Licence en sciences et technologies de l'information et de la communication, spécialité ""Sécurité des Réseaux""";Institut Supérieur des études technologiques en Communications de Tunis;15,96;16,17;16,02
Rennes;2571;Masculin;Attestation descriptive de formation 2023 - TSI2 - 111070453HG;Lycée et section d'enseignement professionnel Saint-Joseph La Salle, Lorient (56100);18,13;15,36;17,30
Brest;2552;Masculin;Sciences des Technologies d’Information et de Communication;Iset'COM;16,10;15,82;16,02
Brest;2511;Masculin;CPGE TSI;Lycée Saint joseph Lasalle, LORIENT;12,98;11,54;12,55
Brest;258;Masculin;DUT R&T - réseaux et télécommunications;IUT Saint-Malo: Saint-Malo (35407);12,29;18,39;14,12
Rennes;2572;Féminin;licence informatique;Université de Rennes 1: Rennes (35205);17,13;18,45;17,53
Brest;2523;Masculin;;Lycée et section d'enseignement professionnel Saint-Joseph La Salle: Lorient (56100);15,54;15,54;15,54
Brest;2530;Masculin;CPGE technologies et sciences industrielles;Lycée et section d'enseignement professionnel Saint-Joseph La Salle: Lorient (56100);12,96;11,54;12,53
Brest;2515;Masculin;DUT Réseaux et Télécoms;IUT Lannion: Lannion (22303);11,85;10,60;11,48
Rennes;2563;Masculin;BUT Réseaux et Télécoms;IUT Lannion;14,84;16,28;15,27
Brest;2519;Féminin;double diplôme en Licence Physique iXeo et Licence STIC;Université de Limoges: Limoges (87031);15,92;15,82;15,89
Rennes;2564;Masculin;DUT réseaux et télécommunications;IUT Grand Ouest Normandie - Pôle Caen - Site Ifs: Ifs (14123);17,65;15,12;16,89
Brest;2520;Masculin;Attestation délivrée à la suite d'un cursus CPGE;Lycée Chaptal: Saint-Brieuc (22015);6,46;19,43;10,35
Brest;252;Masculin;DUT Réseaux & Télécommunications;IUT de Vélizy;13,38;13,36;13,37
Rennes;2557;Masculin;Réseaux et Télécommunications;Institut Galilée, paris 13;18,02;17,03;17,72
Brest;2514;Féminin;Génie électrique et Informatique industrielle;IUT Bordeaux - Site Bordeaux - Gradignan: Gradignan (33170);12,69;17,72;14,20
Brest;257;Masculin;DUT GEII;IUT Cachan Université Paris-Saclay: Cachan (94235);13,40;13,95;13,57
