Student_ID;Note_TP;Cursus_Origine;Dist_KL_CPGE/ATS;Dist_KL_GEII;Dist_KL_Informatique;Dist_KL_MP;Dist_KL_RT
2445;9.91;Réseaux & Télécommunications;0.0163;0.0161;0.0148;0.0366;0.0151
2444;12.64;GEII;0.0119;0.0097;0.0097;0.0108;0.0102
2446;10.56;GEII;0.0129;0.0115;0.0084;0.0331;0.0104
2447;12.7;Réseaux & Télécommunications;0.0729;0.0659;0.0523;0.1127;0.063
2443;12.74;Réseaux & Télécommunications;0.0084;0.006;0.0025;0.0248;0.0052
2442;13.472;GEII;0.0066;0.0074;0.0086;0.0199;0.007
2440;10.96;Réseaux & Télécommunications;0.0091;0.0086;0.0073;0.0263;0.0078
2441;8.72;Réseaux & Télécommunications;0.0174;0.0199;0.0286;0.004;0.0215
2432;8.42;GEII;0.0814;0.0769;0.0782;0.0601;0.0788
2426;10.29;Réseaux & Télécommunications;0.0271;0.025;0.0274;0.016;0.0263
2427;12.84;Réseaux & Télécommunications;0.0084;0.0087;0.0089;0.0238;0.0081
2433;7.39;Réseaux & Télécommunications;0.0492;0.0555;0.0709;0.0264;0.058
2419;8.42;Réseaux & Télécommunications;0.0068;0.0072;0.0077;0.021;0.0066
2425;15.81;Réseaux & Télécommunications;0.0128;0.0166;0.0259;0.0039;0.018
2431;10.09;Mesures Physiques;0.0329;0.0308;0.0337;0.0194;0.0322
241;16.63;Réseaux & Télécommunications;0.0096;0.0094;0.0131;0.0032;0.0104
2430;13.61;Réseaux & Télécommunications;0.057;0.0522;0.0514;0.0445;0.0534
2418;18.36;CPGE/ATS;0.0066;0.0049;0.0056;0.0068;0.0053
2420;14.77;Informatique;0.0241;0.0254;0.0329;0.0079;0.0272
2434;8.07;Réseaux & Télécommunications;0.007;0.0048;0.0044;0.0094;0.005
245;10.5;Réseaux & Télécommunications;0.0043;0.0022;0.0006;0.0125;0.002
2435;9.87;Réseaux & Télécommunications;0.0256;0.0198;0.0125;0.0405;0.019
2421;14.25;Réseaux & Télécommunications;0.0086;0.0089;0.0136;0.0016;0.01
2437;7.93;Réseaux & Télécommunications;0.0158;0.0195;0.0249;0.0258;0.0194
2423;10.56;Réseaux & Télécommunications;0.0338;0.0284;0.0189;0.0616;0.0266
247;10.21;Réseaux & Télécommunications;0.0218;0.0235;0.0314;0.0063;0.0253
246;17.99;Réseaux & Télécommunications;0.0003;0.0005;0.003;0.0032;0.0008
2422;9.3;Réseaux & Télécommunications;0.0095;0.0065;0.0036;0.0173;0.0063
2436;11.8;Réseaux & Télécommunications;0.1222;0.1148;0.0979;0.1731;0.1111
2413;8.506;Mesures Physiques;0.0585;0.0609;0.0727;0.0297;0.0637
2412;7.55;Réseaux & Télécommunications;0.0112;0.0131;0.02;0.0014;0.0145
2438;17.43;Réseaux & Télécommunications;0.0131;0.0113;0.0078;0.0335;0.0102
