Login_LDAP,Cohorte,Cursus,Note_TP,L-L,L-P,P-L,P-P
2445,Brest 1,Réseaux & Télécommunications,9.91,0.423728813559322,0.23728813559322035,0.22033898305084745,0.11864406779661017
2444,Brest 1,GEII,12.64,0.38271604938271603,0.18518518518518517,0.19753086419753085,0.2345679012345679
2446,Brest 1,GEII,10.56,0.4370860927152318,0.2185430463576159,0.2119205298013245,0.13245033112582782
2447,Brest 1,Réseaux & Télécommunications,12.7,0.55,0.2,0.15,0.1
2443,Brest 1,Réseaux & Télécommunications,12.74,0.43564356435643564,0.2079207920792079,0.19801980198019803,0.15841584158415842
2442,Brest 1,GEII,13.472,0.39344262295081966,0.23770491803278687,0.22950819672131148,0.13934426229508196
2440,Brest 1,Réseaux & Télécommunications,10.96,0.418848167539267,0.225130890052356,0.2198952879581152,0.13612565445026178
2441,Brest 1,Réseaux & Télécommunications,8.72,0.29577464788732394,0.23943661971830985,0.22535211267605634,0.23943661971830985
2432,Brest 1,GEII,8.42,0.3448275862068966,0.15517241379310345,0.15517241379310345,0.3448275862068966
2426,Brest 1,Réseaux & Télécommunications,10.29,0.35,0.1875,0.1875,0.275
2427,Brest 1,Réseaux & Télécommunications,12.84,0.4044943820224719,0.23595505617977527,0.2247191011235955,0.1348314606741573
2433,Brest 1,Réseaux & Télécommunications,7.39,0.22857142857142856,0.2714285714285714,0.2571428571428571,0.24285714285714285
2419,Brest 1,Réseaux & Télécommunications,8.42,0.4,0.24,0.22,0.14
2425,Brest 1,Réseaux & Télécommunications,15.81,0.297029702970297,0.24752475247524752,0.24752475247524752,0.2079207920792079
2431,Brest 1,Mesures Physiques,10.09,0.34285714285714286,0.19047619047619047,0.18095238095238095,0.2857142857142857
241,Brest 1,Réseaux & Télécommunications,16.63,0.34615384615384615,0.20512820512820512,0.21153846153846154,0.23717948717948717
2430,Brest 1,Réseaux & Télécommunications,13.61,0.37398373983739835,0.16260162601626016,0.15447154471544716,0.3089430894308943
2418,Brest 1,CPGE/ATS,18.36,0.379746835443038,0.20253164556962025,0.1962025316455696,0.22151898734177214
2420,Brest 1,Informatique,14.77,0.30120481927710846,0.21686746987951808,0.21686746987951808,0.26506024096385544
2434,Brest 1,Réseaux & Télécommunications,8.07,0.39156626506024095,0.19879518072289157,0.1927710843373494,0.21686746987951808
245,Brest 1,Réseaux & Télécommunications,10.5,0.40869565217391307,0.2,0.2,0.19130434782608696
2435,Brest 1,Réseaux & Télécommunications,9.87,0.46511627906976744,0.1744186046511628,0.16279069767441862,0.19767441860465115
2421,Brest 1,Réseaux & Télécommunications,14.25,0.3372093023255814,0.22093023255813954,0.20930232558139536,0.23255813953488372
2437,Brest 1,Réseaux & Télécommunications,7.93,0.35443037974683544,0.26582278481012656,0.25316455696202533,0.12658227848101267
2423,Brest 1,Réseaux & Télécommunications,10.56,0.5,0.1875,0.175,0.1375
247,Brest 1,Réseaux & Télécommunications,10.21,0.29896907216494845,0.22164948453608246,0.22164948453608246,0.25773195876288657
246,Brest 1,Réseaux & Télécommunications,17.99,0.3684210526315789,0.2236842105263158,0.21710526315789475,0.19078947368421054
2422,Brest 1,Réseaux & Télécommunications,9.3,0.41836734693877553,0.1836734693877551,0.19387755102040816,0.20408163265306123
2436,Brest 1,Réseaux & Télécommunications,11.8,0.5912408759124088,0.17518248175182483,0.17518248175182483,0.058394160583941604
2413,Brest 1,Mesures Physiques,8.506,0.25,0.22727272727272727,0.2159090909090909,0.3068181818181818
2412,Brest 1,Réseaux & Télécommunications,7.55,0.3148148148148148,0.2222222222222222,0.23148148148148148,0.23148148148148148
2438,Brest 1,Réseaux & Télécommunications,17.43,0.44144144144144143,0.21621621621621623,0.2072072072072072,0.13513513513513514
2410,Brest 1,Réseaux & Télécommunications,16.56,0.3684210526315789,0.21052631578947367,0.2,0.22105263157894736
249,Brest 1,CPGE/ATS,15.25,0.4824561403508772,0.22807017543859648,0.21929824561403508,0.07017543859649122
2411,Brest 1,Mesures Physiques,9.55,0.46808510638297873,0.22340425531914893,0.22340425531914893,0.0851063829787234
2439,Brest 1,Réseaux & Télécommunications,5.688,0.4056603773584906,0.18867924528301888,0.18867924528301888,0.2169811320754717
2415,Brest 1,Réseaux & Télécommunications,7.19,0.3113207547169811,0.18867924528301888,0.1792452830188679,0.32075471698113206
2429,Brest 1,GEII,7.29,0.3368421052631579,0.23157894736842105,0.22105263157894736,0.21052631578947367
2414,Brest 1,Réseaux & Télécommunications,10.94,0.49038461538461536,0.21153846153846154,0.20192307692307693,0.09615384615384616
2416,Brest 1,Réseaux & Télécommunications,9.06,0.2826086956521739,0.2391304347826087,0.2608695652173913,0.21739130434782608
2417,Brest 1,Réseaux & Télécommunications,7.208,0.29906542056074764,0.19626168224299065,0.19626168224299065,0.308411214953271
2449,Brest 1,GEII,15.1,0.475,0.25,0.225,0.05
2519,Brest 2,Informatique,15.92,0.37681159420289856,0.2318840579710145,0.21739130434782608,0.17391304347826086
2525,Brest 2,GEII,15.45,0.46808510638297873,0.1595744680851064,0.1595744680851064,0.2127659574468085
2531,Brest 2,Réseaux & Télécommunications,12.63,0.27380952380952384,0.27380952380952384,0.2619047619047619,0.19047619047619047
2530,Brest 2,CPGE/ATS,12.96,0.3,0.25,0.25,0.2
2524,Brest 2,Informatique,18.19,0.35106382978723405,0.23404255319148937,0.23404255319148937,0.18085106382978725
2518,Brest 2,Réseaux & Télécommunications,13.98,0.5172413793103449,0.22413793103448276,0.20689655172413793,0.05172413793103448
2526,Brest 2,Réseaux & Télécommunications,13.38,0.4111111111111111,0.2222222222222222,0.2111111111111111,0.15555555555555556
2527,Brest 2,CPGE/ATS,14.52,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111
2533,Brest 2,GEII,9.79,0.4883720930232558,0.20930232558139536,0.20930232558139536,0.09302325581395349
2523,Brest 2,CPGE/ATS,15.54,0.5932203389830508,0.11016949152542373,0.11016949152542373,0.1864406779661017
2522,Brest 2,Informatique,16.96,0.4383561643835616,0.1780821917808219,0.1780821917808219,0.2054794520547945
2520,Brest 2,CPGE/ATS,6.46,0.1724137931034483,0.25862068965517243,0.25862068965517243,0.3103448275862069
2534,Brest 2,GEII,14.9,0.32038834951456313,0.20388349514563106,0.1941747572815534,0.2815533980582524
2521,Brest 2,GEII,12.95,0.38461538461538464,0.2087912087912088,0.1978021978021978,0.2087912087912088
256,Brest 2,CPGE/ATS,12.58,0.3090909090909091,0.20909090909090908,0.20909090909090908,0.2727272727272727
2546,Brest 2,Réseaux & Télécommunications,14.63,0.5154639175257731,0.17525773195876287,0.16494845360824742,0.14432989690721648
2552,Brest 2,Informatique,16.1,0.5512820512820513,0.20512820512820512,0.19230769230769232,0.05128205128205128
2553,Brest 2,CPGE/ATS,14.56,0.33783783783783783,0.24324324324324326,0.22972972972972974,0.1891891891891892
2547,Brest 2,CPGE/ATS,12.57,0.425,0.225,0.225,0.125
257,Brest 2,GEII,13.4,0.3956043956043956,0.2087912087912088,0.2087912087912088,0.18681318681318682
255,Brest 2,Réseaux & Télécommunications,13.52,0.40441176470588236,0.23529411764705882,0.22794117647058823,0.1323529411764706
2551,Brest 2,GEII,7.96,0.3010752688172043,0.25806451612903225,0.24731182795698925,0.1935483870967742
2545,Brest 2,Réseaux & Télécommunications,9.41,0.3939393939393939,0.22727272727272727,0.21212121212121213,0.16666666666666666
2544,Brest 2,Réseaux & Télécommunications,10.5,0.35135135135135137,0.22972972972972974,0.22972972972972974,0.1891891891891892
2550,Brest 2,Informatique,18.85,0.42342342342342343,0.2072072072072072,0.2072072072072072,0.16216216216216217
2554,Brest 2,Réseaux & Télécommunications,15.75,0.4262295081967213,0.22950819672131148,0.21311475409836064,0.13114754098360656
2540,Brest 2,Réseaux & Télécommunications,11.29,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.16216216216216217
2541,Brest 2,Réseaux & Télécommunications,15.25,0.27956989247311825,0.25806451612903225,0.25806451612903225,0.20430107526881722
253,Brest 2,GEII,12.54,0.3404255319148936,0.2553191489361702,0.2553191489361702,0.14893617021276595
2543,Brest 2,Réseaux & Télécommunications,16.88,0.6222222222222222,0.15555555555555556,0.15555555555555556,0.06666666666666667
2556,Brest 2,Réseaux & Télécommunications,17.94,0.30434782608695654,0.21739130434782608,0.2028985507246377,0.2753623188405797
2542,Brest 2,Informatique,15.21,0.42857142857142855,0.18571428571428572,0.18571428571428572,0.2
252,Brest 2,Réseaux & Télécommunications,13.38,0.3114754098360656,0.2459016393442623,0.24043715846994534,0.20218579234972678
