Student_ID;Note_TP;Cursus_Origine;Dist_KL_CPGE/ATS;Dist_KL_GEII;Dist_KL_Informatique;Dist_KL_MP;Dist_KL_RT
2445;9.91;Réseaux & Télécommunications;0.127;0.1388;0.121;0.1235;0.0704
2444;12.64;GEII;0.0422;0.0102;0.062;0.0953;0.0403
2446;10.56;GEII;0.0567;0.1185;0.0367;0.0675;0.0678
2447;12.7;Réseaux & Télécommunications;0.3728;0.295;0.4364;0.4939;0.3326
2443;12.74;Réseaux & Télécommunications;0.1108;0.0723;0.133;0.2163;0.0749
2442;13.472;GEII;0.0577;0.0759;0.0247;0.0312;0.0514
2440;10.96;Réseaux & Télécommunications;0.0142;0.0433;0.0116;0.0798;0.0133
2441;8.72;Réseaux & Télécommunications;0.226;0.3019;0.1987;0.2329;0.1787
2432;8.42;GEII;0.0589;0.0646;0.077;0.1076;0.0834
2426;10.29;Réseaux & Télécommunications;0.0854;0.0558;0.1003;0.1018;0.0749
2427;12.84;Réseaux & Télécommunications;0.0853;0.0603;0.0989;0.091;0.1209
2433;7.39;Réseaux & Télécommunications;0.0492;0.0403;0.0744;0.1057;0.0316
2419;8.42;Réseaux & Télécommunications;0.367;0.2804;0.4067;0.3818;0.2899
2425;15.81;Réseaux & Télécommunications;0.0842;0.1157;0.0798;0.2237;0.0862
2431;10.09;Mesures Physiques;0.0647;0.0622;0.0412;0.0098;0.0465
241;16.63;Réseaux & Télécommunications;0.0905;0.0902;0.0578;0.0389;0.0953
2430;13.61;Réseaux & Télécommunications;0.028;0.0731;0.0195;0.1076;0.0443
2418;18.36;CPGE/ATS;0.0363;0.0852;0.0303;0.0641;0.0561
2420;14.77;Informatique;0.0392;0.0733;0.0218;0.0461;0.058
2434;8.07;Réseaux & Télécommunications;0.0584;0.1276;0.0473;0.0983;0.0611
245;10.5;Réseaux & Télécommunications;0.0922;0.0975;0.089;0.0717;0.1359
2435;9.87;Réseaux & Télécommunications;0.0829;0.0615;0.1141;0.12;0.0615
2421;14.25;Réseaux & Télécommunications;0.0214;0.0083;0.0353;0.0609;0.0156
2437;7.93;Réseaux & Télécommunications;0.2681;0.2942;0.268;0.3597;0.1972
2423;10.56;Réseaux & Télécommunications;0.0688;0.0617;0.0765;0.1603;0.043
247;10.21;Réseaux & Télécommunications;0.0722;0.0943;0.0666;0.0753;0.1157
