Group;Rank;Page;PageRank_Score;In_Degree
Group_1;1;practice_jpa;0.0414;110
Group_1;2;lecture_mvc_spring;0.0347;91
Group_1;3;lecture_jpa;0.0321;85
Group_1;4;lecture_conceptual_modeling;0.0312;88
Group_1;5;lecture_software_architecture;0.0307;77
Group_1;6;activity_conceptual_modeling;0.0286;75
Group_1;7;activity_normalization;0.0279;66
Group_1;8;lecture_normalization;0.0264;72
Group_1;9;practice_spring_2tiers;0.026;65
Group_1;10;lecture_transaction;0.0259;55
Group_1;11;lecture_technical_architecture;0.0256;57
Group_1;12;lecture_modeling_normalization;0.025;69
Group_1;13;practice_spring;0.0247;92
Group_1;14;practice_sql;0.0239;61
Group_1;15;activity_sql;0.0231;54
Group_1;16;practice_transaction;0.0231;48
Group_1;17;lecture_json;0.0227;40
Group_1;18;activity_relational_model;0.0227;66
Group_1;19;activity_decomposition;0.0205;47
Group_1;20;practice_xml;0.0199;49
Group_1;21;practice_docker;0.0198;98
Group_1;22;lecture_relational_model;0.0197;51
Group_1;23;practice_json;0.0195;39
Group_1;24;lecture_db_integrity;0.0192;62
Group_1;25;lecture_xml;0.018;51
Group_1;26;practice_postgresql;0.0173;61
Group_1;27;documentation_programming;0.0172;62
Group_1;28;lecture_dto;0.0163;39
Group_1;29;practice_jpa_advanced;0.0143;28
Group_1;30;activity_conceptual_modeling_correction;0.0137;37
Group_1;31;activity_normalization_correction;0.0136;30
Group_1;32;documentation_rdbms;0.0125;40
Group_1;33;inversion_of_control;0.0118;42
Group_1;34;lecture_validity;0.0115;26
Group_1;35;documentation_docker;0.0114;36
Group_1;36;practice_sql_correction;0.0112;29
Group_1;37;documentation_si;0.011;38
Group_1;38;practice_spring_2tiers_ext;0.0101;23
Group_1;39;practice_docker_advanced;0.0099;37
Group_1;40;activity_decomposition_correction;0.0091;20
Group_1;41;practice_transaction_correction;0.009;16
Group_1;42;practice_independence_views;0.009;15
Group_1;43;activity_sql_correction;0.0089;22
Group_1;44;activity_conceptual_modeling_advanced;0.0089;20
Group_1;45;practice_advanced_sql;0.0088;17
Group_1;46;lecture_relational_algebra;0.0087;23
Group_1;47;spring_bean;0.008;22
Group_1;48;activity_relational_model_correction;0.008;19
Group_1;49;practice_isolation;0.008;6
Group_1;50;lecture_independence_views;0.0077;17
Group_1;51;lecture_parser;0.0071;10
Group_1;52;probleme_glassfish_certificats_expires;0.0071;1
Group_1;53;lecture_isolation;0.007;13
Group_1;54;lecture_jaxb;0.0067;9
Group_1;55;bd_memento_jpa;0.0058;1
Group_1;56;activity_conceptual_modeling_advanced_correction;0.0055;9
Group_1;57;bd_cours_mor_generalites;0.0051;3
Group_1;58;practice_xpath;0.0049;3
Group_1;59;lecture_xpath;0.0046;6
Group_1;60;practice_advanced_sql_correction;0.0045;5
Group_1;61;practice_schema_xml;0.0043;6
Group_1;62;bd_cours_mor_jpa;0.0043;1
Group_1;63;practice_apis;0.004;2
Group_1;64;bd_tp_isolation;0.004;1
Group_1;65;lecture_relation_model;0.0033;4
Group_1;66;lecture_sql;0.0031;2
Group_1;67;lecture_db_tools;0.0027;2
Group_1;68;practice_independence_views_correction;0.0027;1
Group_1;69;licence;0.0024;1
Group_1;70;bd_cours_isolation;0.0021;0
Group_2;1;lecture_normalization;0.0333;136
Group_2;2;practice_jpa;0.0328;84
Group_2;3;activity_sql;0.0319;84
Group_2;4;practice_sql;0.0309;89
Group_2;5;lecture_conceptual_modeling;0.0307;142
Group_2;6;activity_normalization;0.0281;103
Group_2;7;practice_transaction;0.0264;83
Group_2;8;lecture_jpa;0.0258;69
Group_2;9;lecture_mvc_spring;0.0257;81
Group_2;10;activity_conceptual_modeling;0.0255;113
Group_2;11;practice_postgresql;0.0252;116
Group_2;12;lecture_transaction;0.0251;65
Group_2;13;practice_xml;0.025;47
Group_2;14;lecture_modeling_normalization;0.0246;98
Group_2;15;practice_spring_2tiers;0.0245;67
Group_2;16;activity_relational_model;0.023;101
Group_2;17;practice_docker;0.0226;138
Group_2;18;practice_spring;0.0226;98
Group_2;19;practice_json;0.0221;45
Group_2;20;lecture_xml;0.0216;51
Group_2;21;documentation_rdbms;0.0215;86
Group_2;22;lecture_technical_architecture;0.0207;51
Group_2;23;documentation_programming;0.0201;87
Group_2;24;practice_jpa_advanced;0.02;49
Group_2;25;lecture_json;0.0199;31
Group_2;26;lecture_relational_model;0.0195;56
Group_2;27;lecture_software_architecture;0.0192;66
Group_2;28;lecture_db_integrity;0.0191;94
Group_2;29;activity_decomposition;0.0185;59
Group_2;30;documentation_docker;0.0171;64
Group_2;31;lecture_dto;0.0165;58
Group_2;32;activity_sql_correction;0.0143;43
Group_2;33;activity_normalization_correction;0.014;51
Group_2;34;practice_docker_advanced;0.0134;65
Group_2;35;practice_sql_correction;0.0131;37
Group_2;36;activity_conceptual_modeling_correction;0.0128;49
Group_2;37;inversion_of_control;0.012;45
Group_2;38;lecture_validity;0.0111;20
Group_2;39;practice_transaction_correction;0.011;28
Group_2;40;spring_bean;0.0104;35
Group_2;41;lecture_jaxb;0.0101;11
Group_2;42;activity_decomposition_correction;0.0098;26
Group_2;43;activity_relational_model_correction;0.0096;29
Group_2;44;practice_advanced_sql;0.0092;20
Group_2;45;lecture_relational_algebra;0.0092;34
Group_2;46;practice_spring_2tiers_ext;0.009;19
Group_2;47;practice_apis;0.0073;4
Group_2;48;practice_xpath;0.0072;4
Group_2;49;activity_conceptual_modeling_advanced;0.0071;21
Group_2;50;lecture_xpath;0.0067;8
Group_2;51;lecture_independence_views;0.0067;15
Group_2;52;lecture_parser;0.0064;5
Group_2;53;practice_independence_views;0.0062;13
Group_2;54;lecture_isolation;0.0052;6
Group_2;55;lecture_sql;0.0051;6
Group_2;56;activity_conceptual_modeling_advanced_correction;0.0049;9
Group_2;57;bd_cours_partie1_bigdata;0.0048;2
Group_2;58;practice_schema_xml;0.0045;3
Group_2;59;licence;0.0041;6
Group_2;60;pres;0.0034;6
Group_2;61;practice_advanced_sql_correction;0.0032;3
Group_2;62;lecture_db_tools;0.0031;4
Group_2;63;practice_isolation;0.0031;1
Group_2;64;practice_independence_views_correction;0.0029;1
