Cursus;Rank;Page;PageRank_Score;In_Degree
Réseaux et Télécommunications;1;practice_jpa;0.0342;106
Réseaux et Télécommunications;2;lecture_conceptual_modeling;0.031;122
Réseaux et Télécommunications;3;lecture_mvc_spring;0.0297;97
Réseaux et Télécommunications;4;activity_conceptual_modeling;0.0295;113
Réseaux et Télécommunications;5;lecture_normalization;0.0293;113
Réseaux et Télécommunications;6;activity_normalization;0.029;102
Réseaux et Télécommunications;7;lecture_jpa;0.0286;86
Réseaux et Télécommunications;8;practice_transaction;0.0261;74
Réseaux et Télécommunications;9;lecture_modeling_normalization;0.0259;91
Réseaux et Télécommunications;10;practice_sql;0.0259;83
Réseaux et Télécommunications;11;lecture_software_architecture;0.0251;80
Réseaux et Télécommunications;12;activity_sql;0.0245;72
Réseaux et Télécommunications;13;practice_spring_2tiers;0.0244;73
Réseaux et Télécommunications;14;practice_spring;0.0239;117
Réseaux et Télécommunications;15;activity_relational_model;0.0237;94
Réseaux et Télécommunications;16;lecture_transaction;0.0237;63
Réseaux et Télécommunications;17;lecture_json;0.0218;40
Réseaux et Télécommunications;18;lecture_relational_model;0.0217;66
Réseaux et Télécommunications;19;practice_docker;0.0213;142
Réseaux et Télécommunications;20;practice_xml;0.0211;59
Réseaux et Télécommunications;21;practice_json;0.0211;56
Réseaux et Télécommunications;22;activity_decomposition;0.021;68
Réseaux et Télécommunications;23;lecture_xml;0.0209;65
Réseaux et Télécommunications;24;practice_postgresql;0.0207;98
Réseaux et Télécommunications;25;lecture_db_integrity;0.0206;89
Réseaux et Télécommunications;26;lecture_technical_architecture;0.0188;56
Réseaux et Télécommunications;27;practice_jpa_advanced;0.0184;52
Réseaux et Télécommunications;28;documentation_programming;0.0182;88
Réseaux et Télécommunications;29;lecture_dto;0.0167;48
Réseaux et Télécommunications;30;documentation_rdbms;0.0151;70
Réseaux et Télécommunications;31;activity_conceptual_modeling_correction;0.0137;45
Réseaux et Télécommunications;32;documentation_docker;0.013;57
Réseaux et Télécommunications;33;activity_normalization_correction;0.0125;43
Réseaux et Télécommunications;34;lecture_validity;0.0121;32
Réseaux et Télécommunications;35;inversion_of_control;0.0114;52
Réseaux et Télécommunications;36;practice_docker_advanced;0.0111;60
Réseaux et Télécommunications;37;practice_transaction_correction;0.0109;26
Réseaux et Télécommunications;38;practice_sql_correction;0.0105;33
Réseaux et Télécommunications;39;activity_decomposition_correction;0.0101;29
Réseaux et Télécommunications;40;practice_spring_2tiers_ext;0.0095;29
Réseaux et Télécommunications;41;lecture_relational_algebra;0.0094;31
Réseaux et Télécommunications;42;activity_relational_model_correction;0.0092;26
Réseaux et Télécommunications;43;activity_sql_correction;0.009;27
Réseaux et Télécommunications;44;practice_advanced_sql;0.0087;21
Réseaux et Télécommunications;45;lecture_jaxb;0.0087;16
Réseaux et Télécommunications;46;activity_conceptual_modeling_advanced;0.0083;24
Réseaux et Télécommunications;47;spring_bean;0.0077;32
Réseaux et Télécommunications;48;documentation_si;0.0077;32
Réseaux et Télécommunications;49;lecture_parser;0.0076;14
Réseaux et Télécommunications;50;lecture_independence_views;0.0075;22
Réseaux et Télécommunications;51;practice_independence_views;0.0073;15
Réseaux et Télécommunications;52;probleme_glassfish_certificats_expires;0.0071;1
Réseaux et Télécommunications;53;practice_apis;0.0061;5
Réseaux et Télécommunications;54;lecture_isolation;0.006;13
Réseaux et Télécommunications;55;bd_memento_jpa;0.0058;1
Réseaux et Télécommunications;56;practice_xpath;0.0057;5
Réseaux et Télécommunications;57;activity_conceptual_modeling_advanced_correction;0.0056;12
Réseaux et Télécommunications;58;lecture_xpath;0.0053;11
Réseaux et Télécommunications;59;practice_schema_xml;0.005;8
Réseaux et Télécommunications;60;bd_cours_mor_generalites;0.0049;3
Réseaux et Télécommunications;61;lecture_sql;0.0049;6
Réseaux et Télécommunications;62;bd_cours_mor_jpa;0.0043;1
Réseaux et Télécommunications;63;practice_isolation;0.0042;5
Réseaux et Télécommunications;64;practice_advanced_sql_correction;0.0037;5
Réseaux et Télécommunications;65;licence;0.0031;3
Réseaux et Télécommunications;66;pres;0.0027;3
Réseaux et Télécommunications;67;lecture_relation_model;0.0026;2
Réseaux et Télécommunications;68;practice_independence_views_correction;0.0026;1
Réseaux et Télécommunications;69;lecture_db_tools;0.0026;2
Mesures Physiques;1;practice_spring_2tiers;0.0448;10
Mesures Physiques;2;activity_normalization;0.039;7
Mesures Physiques;3;practice_docker;0.0339;6
Mesures Physiques;4;practice_jpa;0.0335;10
Mesures Physiques;5;lecture_mvc_spring;0.0332;10
Mesures Physiques;6;lecture_normalization;0.0308;7
Mesures Physiques;7;activity_sql;0.0302;6
Mesures Physiques;8;practice_spring;0.0296;8
Mesures Physiques;9;lecture_jpa;0.0272;7
Mesures Physiques;10;lecture_conceptual_modeling;0.0256;8
Mesures Physiques;11;activity_conceptual_modeling;0.0255;6
Mesures Physiques;12;practice_postgresql;0.0248;6
Mesures Physiques;13;practice_json;0.0244;4
