Performance_Group;Rank;Page;PageRank_Score;In_Degree
Réussite;1;practice_jpa;0.0315;107
Réussite;2;lecture_normalization;0.0307;145
Réussite;3;practice_sql;0.0304;97
Réussite;4;lecture_conceptual_modeling;0.029;152
Réussite;5;activity_sql;0.0283;86
Réussite;6;activity_normalization;0.0279;113
Réussite;7;lecture_transaction;0.027;80
Réussite;8;practice_transaction;0.0266;86
Réussite;9;activity_conceptual_modeling;0.0266;129
Réussite;10;lecture_jpa;0.0254;84
Réussite;11;lecture_modeling_normalization;0.0252;111
Réussite;12;practice_xml;0.0241;62
Réussite;13;lecture_mvc_spring;0.0239;90
Réussite;14;practice_postgresql;0.0233;115
Réussite;15;practice_docker;0.0228;154
Réussite;16;activity_relational_model;0.0227;108
Réussite;17;practice_spring_2tiers;0.0226;73
Réussite;18;lecture_json;0.0225;47
Réussite;19;lecture_technical_architecture;0.0222;60
Réussite;20;practice_json;0.0213;56
Réussite;21;lecture_relational_model;0.0208;70
Réussite;22;lecture_software_architecture;0.0207;80
Réussite;23;practice_spring;0.0207;110
Réussite;24;documentation_rdbms;0.0201;84
Réussite;25;documentation_programming;0.0197;97
Réussite;26;lecture_xml;0.0192;62
Réussite;27;lecture_db_integrity;0.0191;103
Réussite;28;activity_decomposition;0.019;69
Réussite;29;practice_jpa_advanced;0.0168;52
Réussite;30;documentation_docker;0.0162;69
Réussite;31;lecture_dto;0.016;56
Réussite;32;activity_normalization_correction;0.0143;58
Réussite;33;activity_conceptual_modeling_correction;0.0139;63
Réussite;34;activity_sql_correction;0.0138;47
Réussite;35;practice_sql_correction;0.0134;41
Réussite;36;practice_docker_advanced;0.0125;66
Réussite;37;lecture_validity;0.0118;31
Réussite;38;inversion_of_control;0.0118;54
Réussite;39;practice_transaction_correction;0.0116;33
Réussite;40;activity_decomposition_correction;0.0101;33
Réussite;41;practice_spring_2tiers_ext;0.01;29
Réussite;42;lecture_relational_algebra;0.0097;41
Réussite;43;lecture_jaxb;0.0096;12
Réussite;44;practice_advanced_sql;0.0096;22
Réussite;45;spring_bean;0.0095;40
Réussite;46;activity_relational_model_correction;0.009;31
Réussite;47;practice_isolation;0.0072;4
Réussite;48;activity_conceptual_modeling_advanced;0.0071;25
Réussite;49;lecture_independence_views;0.007;21
Réussite;50;practice_apis;0.0067;4
Réussite;51;practice_independence_views;0.0064;15
Réussite;52;lecture_isolation;0.0064;9
Réussite;53;lecture_parser;0.0061;6
Réussite;54;practice_xpath;0.006;3
Réussite;55;activity_conceptual_modeling_advanced_correction;0.0048;11
Réussite;56;lecture_sql;0.0046;7
Réussite;57;lecture_xpath;0.0045;7
Réussite;58;practice_schema_xml;0.0045;5
Réussite;59;bd_cours_partie1_bigdata;0.0045;2
Réussite;60;bd_tp_isolation;0.0041;1
Réussite;61;documentation_si;0.0041;11
Réussite;62;practice_advanced_sql_correction;0.0035;5
Réussite;63;licence;0.0035;5
Réussite;64;lecture_db_tools;0.003;5
Réussite;65;lecture_relation_model;0.0028;3
Réussite;66;pres;0.0027;4
Réussite;67;practice_independence_views_correction;0.0027;1
Réussite;68;bd_cours_mor_generalites;0.0025;1
Réussite;69;bd_cours_isolation;0.0022;0
Échec;1;practice_jpa;0.0404;87
Échec;2;lecture_mvc_spring;0.0361;82
Échec;3;lecture_conceptual_modeling;0.0339;78
Échec;4;lecture_jpa;0.0306;70
Échec;5;activity_normalization;0.0297;56
Échec;6;lecture_software_architecture;0.0292;63
Échec;7;lecture_normalization;0.0289;63
Échec;8;practice_spring;0.0288;80
Échec;9;practice_spring_2tiers;0.0282;59
Échec;10;activity_conceptual_modeling;0.0278;59
Échec;11;activity_sql;0.0272;52
Échec;12;lecture_technical_architecture;0.025;48
Échec;13;practice_sql;0.0244;53
Échec;14;lecture_modeling_normalization;0.0241;56
Échec;15;practice_transaction;0.0236;45
Échec;16;lecture_transaction;0.0228;40
Échec;17;practice_postgresql;0.0225;62
Échec;18;activity_relational_model;0.0223;59
Échec;19;practice_docker;0.0213;82
Échec;20;lecture_dto;0.0199;41
Échec;21;activity_decomposition;0.0194;37
Échec;22;lecture_xml;0.0194;40
Échec;23;lecture_db_integrity;0.0191;53
Échec;24;documentation_programming;0.0185;52
Échec;25;lecture_json;0.0185;24
Échec;26;practice_xml;0.018;34
Échec;27;practice_json;0.0176;28
Échec;28;lecture_relational_model;0.0175;37
Échec;29;documentation_rdbms;0.0167;42
Échec;30;practice_jpa_advanced;0.0143;25
Échec;31;activity_normalization_correction;0.0128;23
Échec;32;documentation_docker;0.0125;31
Échec;33;practice_docker_advanced;0.0124;36
Échec;34;inversion_of_control;0.012;33
Échec;35;activity_conceptual_modeling_correction;0.0113;23
Échec;36;practice_sql_correction;0.011;25
Échec;37;documentation_si;0.0106;27
Échec;38;practice_independence_views;0.0097;13
Échec;39;lecture_validity;0.0092;15
Échec;40;activity_conceptual_modeling_advanced;0.0091;16
Échec;41;activity_sql_correction;0.0091;18
Échec;42;activity_relational_model_correction;0.0086;17
Échec;43;practice_advanced_sql;0.0084;15
Échec;44;spring_bean;0.0083;17
Échec;45;activity_decomposition_correction;0.0078;13
Échec;46;practice_transaction_correction;0.0077;11
Échec;47;lecture_parser;0.0076;9
Échec;48;lecture_relational_algebra;0.0075;16
Échec;49;practice_spring_2tiers_ext;0.0074;13
Échec;50;probleme_glassfish_certificats_expires;0.007;1
Échec;51;lecture_jaxb;0.007;8
Échec;52;lecture_independence_views;0.0068;11
Échec;53;lecture_isolation;0.0063;10
Échec;54;practice_xpath;0.0059;4
Échec;55;bd_memento_jpa;0.0057;1
Échec;56;lecture_xpath;0.0056;7
Échec;57;activity_conceptual_modeling_advanced_correction;0.0053;7
Échec;58;bd_cours_mor_generalites;0.0045;2
Échec;59;lecture_sql;0.0044;1
Échec;60;bd_cours_mor_jpa;0.0041;1
Échec;61;practice_apis;0.0041;2
Échec;62;practice_schema_xml;0.004;4
Échec;63;practice_advanced_sql_correction;0.0038;3
Échec;64;practice_isolation;0.0037;3
Échec;65;pres;0.0028;2
Échec;66;practice_independence_views_correction;0.0028;1
Échec;67;licence;0.0027;2
Échec;68;lecture_relation_model;0.0026;1
Échec;69;lecture_db_tools;0.0024;1
