Student_ID;Group;Cursus;Total_Pages_Viewed;Most_Frequent_Page;Freq_Page_Global_Rank;Avg_Navigation_Value;Normalized_Score
241;Group_1;Réseaux et Télécommunications;133;practice_jpa;0.0414;0.0198;0.48
2410;Group_1;Réseaux et Télécommunications;76;practice_docker;0.0198;0.0231;0.56
2411;Group_1;Mesures Physiques;66;lecture_mvc_spring;0.0347;0.0219;0.53
2412;Group_1;Réseaux et Télécommunications;90;practice_postgresql;0.0173;0.0219;0.53
2413;Group_1;Mesures Physiques;67;practice_spring;0.0247;0.021;0.51
2414;Group_1;Réseaux et Télécommunications;77;documentation_programming;0.0172;0.0216;0.52
2415;Group_1;Réseaux et Télécommunications;79;practice_spring_2tiers;0.026;0.0189;0.46
2416;Group_1;Réseaux et Télécommunications;36;practice_docker;0.0198;0.0177;0.43
2417;Group_1;Réseaux et Télécommunications;91;practice_jpa;0.0414;0.0247;0.6
2418;Group_1;CPGE;134;practice_jpa;0.0414;0.0235;0.57
2419;Group_1;Réseaux et Télécommunications;42;documentation_docker;0.0114;0.0211;0.51
2420;Group_1;Informatique;69;practice_spring_2tiers;0.026;0.0226;0.54
2421;Group_1;Réseaux et Télécommunications;71;practice_docker;0.0198;0.0222;0.54
2422;Group_1;Réseaux et Télécommunications;81;practice_jpa;0.0414;0.021;0.51
2423;Group_1;Réseaux et Télécommunications;51;practice_spring;0.0247;0.0206;0.5
2425;Group_1;Réseaux et Télécommunications;77;practice_docker;0.0198;0.022;0.53
2426;Group_1;Réseaux et Télécommunications;68;documentation_programming;0.0172;0.0182;0.44
2427;Group_1;Réseaux et Télécommunications;62;activity_conceptual_modeling;0.0286;0.0217;0.52
2429;Group_1;Génie Électrique et Informatique Industrielle;67;practice_jpa;0.0414;0.0225;0.54
2430;Group_1;Réseaux et Télécommunications;101;practice_jpa_advanced;0.0143;0.0187;0.45
2431;Group_1;Mesures Physiques;75;activity_sql;0.0231;0.0198;0.48
2432;Group_1;Génie Électrique et Informatique Industrielle;50;practice_docker;0.0198;0.021;0.51
2433;Group_1;Réseaux et Télécommunications;55;practice_spring;0.0247;0.0206;0.5
2434;Group_1;Réseaux et Télécommunications;136;practice_jpa;0.0414;0.0211;0.51
2435;Group_1;Réseaux et Télécommunications;70;documentation_docker;0.0114;0.0192;0.46
2436;Group_1;Réseaux et Télécommunications;87;practice_jpa;0.0414;0.0239;0.58
2437;Group_1;Réseaux et Télécommunications;53;practice_docker;0.0198;0.0236;0.57
2438;Group_1;Réseaux et Télécommunications;66;practice_jpa;0.0414;0.0246;0.59
2439;Group_1;Réseaux et Télécommunications;80;practice_spring;0.0247;0.0203;0.49
2440;Group_1;Réseaux et Télécommunications;131;lecture_conceptual_modeling;0.0312;0.0211;0.51
2441;Group_1;Réseaux et Télécommunications;58;practice_docker;0.0198;0.0222;0.54
2442;Group_1;Génie Électrique et Informatique Industrielle;86;practice_docker;0.0198;0.0217;0.52
2443;Group_1;Réseaux et Télécommunications;74;practice_docker;0.0198;0.021;0.51
2444;Group_1;Génie Électrique et Informatique Industrielle;66;practice_docker;0.0198;0.0223;0.54
2445;Group_1;Réseaux et Télécommunications;44;practice_jpa;0.0414;0.0231;0.56
2446;Group_1;Génie Électrique et Informatique Industrielle;123;practice_jpa;0.0414;0.0255;0.61
2447;Group_1;Réseaux et Télécommunications;17;lecture_relational_model;0.0197;0.0176;0.42
2449;Group_1;Génie Électrique et Informatique Industrielle;34;lecture_transaction;0.0259;0.0196;0.47
245;Group_1;Réseaux et Télécommunications;87;lecture_relational_model;0.0197;0.0216;0.52
246;Group_1;Réseaux et Télécommunications;110;practice_jpa;0.0414;0.0223;0.54
247;Group_1;Réseaux et Télécommunications;177;practice_jpa;0.0414;0.0219;0.53
249;Group_1;CPGE;82;lecture_modeling_normalization;0.025;0.0227;0.55
2510;Group_2;CPGE;69;documentation_programming;0.0201;0.0205;0.61
2511;Group_2;CPGE;79;lecture_db_integrity;0.0191;0.0225;0.68
2512;Group_2;Réseaux et Télécommunications;42;practice_sql;0.0309;0.0248;0.75
2513;Group_2;Génie Électrique et Informatique Industrielle;55;practice_docker;0.0226;0.0232;0.7
2514;Group_2;Génie Électrique et Informatique Industrielle;85;activity_relational_model;0.023;0.022;0.66
2515;Group_2;Réseaux et Télécommunications;74;lecture_db_integrity;0.0191;0.0209;0.63
2516;Group_2;CPGE;67;lecture_conceptual_modeling;0.0307;0.023;0.69
2517;Group_2;Réseaux et Télécommunications;44;practice_jpa;0.0328;0.0214;0.64
2518;Group_2;Réseaux et Télécommunications;37;documentation_docker;0.0171;0.0221;0.66
2519;Group_2;Informatique;60;practice_docker;0.0226;0.0216;0.65
252;Group_2;Réseaux et Télécommunications;170;practice_spring_2tiers;0.0245;0.0205;0.61
2520;Group_2;CPGE;52;practice_spring;0.0226;0.0232;0.7
2521;Group_2;Génie Électrique et Informatique Industrielle;65;lecture_normalization;0.0333;0.0224;0.67
2522;Group_2;Informatique;55;lecture_normalization;0.0333;0.0218;0.65
2523;Group_2;CPGE;93;lecture_normalization;0.0333;0.0222;0.67
2524;Group_2;Informatique;75;lecture_software_architecture;0.0192;0.0214;0.64
2525;Group_2;Génie Électrique et Informatique Industrielle;73;documentation_docker;0.0171;0.0246;0.74
2526;Group_2;Réseaux et Télécommunications;80;inversion_of_control;0.012;0.0214;0.64
2527;Group_2;CPGE;61;lecture_software_architecture;0.0192;0.0212;0.64
2528;Group_2;Mesures Physiques;83;activity_conceptual_modeling;0.0255;0.0229;0.69
2529;Group_2;Réseaux et Télécommunications;89;activity_conceptual_modeling;0.0255;0.0204;0.61
253;Group_2;Génie Électrique et Informatique Industrielle;35;documentation_docker;0.0171;0.0208;0.62
2530;Group_2;CPGE;52;lecture_normalization;0.0333;0.0223;0.67
2531;Group_2;Réseaux et Télécommunications;70;lecture_normalization;0.0333;0.0239;0.72
2533;Group_2;Génie Électrique et Informatique Industrielle;52;practice_postgresql;0.0252;0.0211;0.63
2534;Group_2;Génie Électrique et Informatique Industrielle;89;practice_docker_advanced;0.0134;0.0188;0.56
2535;Group_2;Génie Électrique et Informatique Industrielle;76;lecture_normalization;0.0333;0.0228;0.69
2536;Group_2;Réseaux et Télécommunications;77;lecture_conceptual_modeling;0.0307;0.0194;0.58
2539;Group_2;Informatique;66;practice_spring;0.0226;0.0229;0.69
2540;Group_2;Réseaux et Télécommunications;29;practice_sql;0.0309;0.0242;0.73
2541;Group_2;Réseaux et Télécommunications;79;lecture_normalization;0.0333;0.0209;0.63
2542;Group_2;Informatique;62;lecture_xml;0.0216;0.0218;0.65
2543;Group_2;Réseaux et Télécommunications;26;lecture_normalization;0.0333;0.0235;0.7
2544;Group_2;Réseaux et Télécommunications;60;practice_spring_2tiers;0.0245;0.0226;0.68
2545;Group_2;Réseaux et Télécommunications;52;activity_sql;0.0319;0.025;0.75
2546;Group_2;Réseaux et Télécommunications;75;practice_docker;0.0226;0.0208;0.63
2547;Group_2;CPGE;34;practice_docker;0.0226;0.0233;0.7
2548;Group_2;Réseaux et Télécommunications;67;documentation_docker;0.0171;0.0212;0.63
2549;Group_2;Réseaux et Télécommunications;80;documentation_rdbms;0.0215;0.0209;0.63
255;Group_2;Réseaux et Télécommunications;115;lecture_normalization;0.0333;0.0231;0.69
2550;Group_2;Informatique;89;lecture_normalization;0.0333;0.022;0.66
2551;Group_2;Génie Électrique et Informatique Industrielle;84;documentation_docker;0.0171;0.0234;0.7
2552;Group_2;Informatique;52;documentation_programming;0.0201;0.0223;0.67
2553;Group_2;CPGE;67;practice_docker;0.0226;0.0222;0.67
2554;Group_2;Réseaux et Télécommunications;53;lecture_conceptual_modeling;0.0307;0.0223;0.67
2556;Group_2;Réseaux et Télécommunications;59;practice_postgresql;0.0252;0.0203;0.61
2557;Group_2;Réseaux et Télécommunications;44;lecture_db_integrity;0.0191;0.0217;0.65
2558;Group_2;CPGE;108;practice_postgresql;0.0252;0.0229;0.69
256;Group_2;CPGE;89;activity_conceptual_modeling;0.0255;0.0218;0.65
2561;Group_2;Réseaux et Télécommunications;93;practice_jpa_advanced;0.02;0.0223;0.67
2562;Group_2;Informatique;61;practice_docker;0.0226;0.0216;0.65
2563;Group_2;Réseaux et Télécommunications;48;documentation_docker;0.0171;0.0209;0.63
2564;Group_2;Réseaux et Télécommunications;39;documentation_rdbms;0.0215;0.0207;0.62
2565;Group_2;Réseaux et Télécommunications;36;documentation_docker;0.0171;0.0214;0.64
2566;Group_2;Génie Électrique et Informatique Industrielle;33;documentation_docker;0.0171;0.0234;0.7
2567;Group_2;Réseaux et Télécommunications;46;practice_postgresql;0.0252;0.022;0.66
2568;Group_2;Réseaux et Télécommunications;51;documentation_docker;0.0171;0.0217;0.65
2569;Group_2;Informatique;58;practice_jpa_advanced;0.02;0.0201;0.6
257;Group_2;Génie Électrique et Informatique Industrielle;80;lecture_conceptual_modeling;0.0307;0.0221;0.66
2570;Group_2;Réseaux et Télécommunications;49;lecture_modeling_normalization;0.0246;0.0203;0.61
2571;Group_2;CPGE;62;documentation_docker;0.0171;0.022;0.66
2572;Group_2;Informatique;44;activity_relational_model;0.023;0.0223;0.67
2573;Group_2;Réseaux et Télécommunications;42;practice_docker;0.0226;0.0228;0.68
2574;Group_2;Réseaux et Télécommunications;39;documentation_docker;0.0171;0.0208;0.62
2575;Group_2;Réseaux et Télécommunications;42;documentation_docker;0.0171;0.0223;0.67
258;Group_2;Réseaux et Télécommunications;75;practice_postgresql;0.0252;0.0237;0.71
259;Group_2;CPGE;108;documentation_docker;0.0171;0.0222;0.67
