support_success,pattern,support_failure,ratio
36.0,"[35, 0, 17]",0.0,37.0
36.0,"[70, 3, 0]",0.0,37.0
36.0,"[17, 3, 0]",0.0,37.0
35.0,"[56, 0, 17]",0.0,36.0
35.0,"[6, 0, 17]",0.0,36.0
35.0,"[58, 0, 17]",0.0,36.0
34.0,"[70, 55, 69]",0.0,35.0
34.0,"[55, 69]",0.0,35.0
33.0,"[69, 55, 69]",0.0,34.0
33.0,"[3, 29, 0]",0.0,34.0
33.0,"[13, 3, 0]",0.0,34.0
33.0,"[12, 55, 69]",0.0,34.0
33.0,"[51, 55, 69]",0.0,34.0
33.0,"[17, 55, 69]",0.0,34.0
33.0,"[42, 55, 69]",0.0,34.0
32.0,"[3, 0, 29]",0.0,33.0
32.0,"[3, 0, 69]",0.0,33.0
32.0,"[13, 55, 69]",0.0,33.0
32.0,"[8, 55, 69]",0.0,33.0
32.0,"[14, 58, 0]",0.0,33.0
32.0,"[3, 33, 69]",0.0,33.0
32.0,"[3, 0, 17]",0.0,33.0
32.0,"[54, 55, 69]",0.0,33.0
32.0,"[32, 55, 69]",0.0,33.0
32.0,"[3, 17, 0]",0.0,33.0
32.0,"[53, 55, 69]",0.0,33.0
31.0,"[27, 55, 69]",0.0,32.0
31.0,"[29, 29, 55]",0.0,32.0
31.0,"[70, 42, 58]",0.0,32.0
31.0,"[3, 17, 69]",0.0,32.0
31.0,"[33, 55, 69]",0.0,32.0
31.0,"[0, 55, 69]",0.0,32.0
30.0,"[32, 42, 17]",0.0,31.0
30.0,"[28, 55, 69]",0.0,31.0
30.0,"[18, 3, 27]",0.0,31.0
30.0,"[8, 42, 69]",0.0,31.0
30.0,"[3, 58, 29]",0.0,31.0
30.0,"[10, 20, 25]",0.0,31.0
30.0,"[8, 3, 27]",0.0,31.0
30.0,"[34, 55, 69]",0.0,31.0
30.0,"[3, 29, 58]",0.0,31.0
30.0,"[32, 42, 48]",0.0,31.0
30.0,"[3, 29, 35]",0.0,31.0
30.0,"[18, 55, 69]",0.0,31.0
30.0,"[3, 35, 29]",0.0,31.0
30.0,"[20, 55, 70]",0.0,31.0
30.0,"[14, 27, 20]",0.0,31.0
30.0,"[14, 35, 0]",0.0,31.0
30.0,"[25, 55, 69]",0.0,31.0
30.0,"[32, 70, 3]",0.0,31.0
30.0,"[17, 3, 27]",0.0,31.0
30.0,"[70, 3, 27]",0.0,31.0
30.0,"[14, 17, 20]",0.0,31.0
29.0,"[29, 55, 69]",0.0,30.0
29.0,"[6, 55, 69]",0.0,30.0
29.0,"[70, 3, 55]",0.0,30.0
29.0,"[3, 58, 0]",0.0,30.0
29.0,"[3, 29, 27]",0.0,30.0
29.0,"[3, 34, 69]",0.0,30.0
29.0,"[14, 3, 29]",0.0,30.0
29.0,"[14, 3, 48]",0.0,30.0
29.0,"[20, 25, 55]",0.0,30.0
29.0,"[14, 58, 20]",0.0,30.0
29.0,"[3, 54, 69]",0.0,30.0
29.0,"[14, 3, 69]",0.0,30.0
29.0,"[17, 0, 51]",0.0,30.0
29.0,"[34, 3, 70]",0.0,30.0
29.0,"[37, 55, 69]",0.0,30.0
29.0,"[3, 0, 48]",0.0,30.0
29.0,"[48, 55, 69]",0.0,30.0
28.0,"[17, 26, 17]",0.0,29.0
28.0,"[3, 58, 69]",0.0,29.0
28.0,"[3, 29, 20]",0.0,29.0
28.0,"[18, 3, 20]",0.0,29.0
28.0,"[14, 55, 69]",0.0,29.0
28.0,"[13, 3, 27]",0.0,29.0
28.0,"[32, 42, 25]",0.0,29.0
28.0,"[14, 51, 49]",0.0,29.0
28.0,"[14, 56, 20]",0.0,29.0
28.0,"[4, 48, 29]",0.0,29.0
28.0,"[58, 37, 17]",0.0,29.0
28.0,"[35, 20, 17]",0.0,29.0
28.0,"[3, 17, 54]",0.0,29.0
28.0,"[4, 0, 17]",0.0,29.0
28.0,"[27, 33, 55]",0.0,29.0
28.0,"[16, 32, 49]",0.0,29.0
28.0,"[3, 35, 0]",0.0,29.0
28.0,"[8, 3, 20]",0.0,29.0
28.0,"[17, 42, 69]",0.0,29.0
28.0,"[37, 26, 69]",0.0,29.0
28.0,"[3, 35, 69]",0.0,29.0
28.0,"[18, 34, 27]",0.0,29.0
28.0,"[26, 48, 69]",0.0,29.0
28.0,"[58, 17, 48]",0.0,29.0
28.0,"[29, 17, 56]",0.0,29.0
28.0,"[14, 3, 17]",0.0,29.0
28.0,"[14, 3, 0]",0.0,29.0
28.0,"[14, 3, 25]",0.0,29.0
28.0,"[34, 3, 29]",0.0,29.0
28.0,"[6, 37, 69]",0.0,29.0
28.0,"[20, 55, 69]",0.0,29.0
28.0,"[58, 20, 17]",0.0,29.0
28.0,"[14, 6, 20]",0.0,29.0
28.0,"[12, 12, 49]",0.0,29.0
27.0,"[7, 69, 48]",0.0,28.0
27.0,"[10, 20, 0]",0.0,28.0
27.0,"[29, 29, 37]",0.0,28.0
27.0,"[34, 27, 3]",0.0,28.0
27.0,"[17, 12, 69]",0.0,28.0
27.0,"[31, 29, 17]",0.0,28.0
