support_success,pattern,support_failure,ratio,decoded
36.0,"[35, 0, 17]",0.0,37.0,lecture_transaction → activity_conceptual_modeling → lecture_conceptual_modeling
36.0,"[17, 3, 0]",0.0,37.0,lecture_conceptual_modeling → activity_conceptual_modeling_correction → activity_conceptual_modeling
35.0,"[56, 0, 17]",0.0,36.0,practice_sql → activity_conceptual_modeling → lecture_conceptual_modeling
35.0,"[6, 0, 17]",0.0,36.0,activity_normalization → activity_conceptual_modeling → lecture_conceptual_modeling
35.0,"[58, 0, 17]",0.0,36.0,practice_transaction → activity_conceptual_modeling → lecture_conceptual_modeling
33.0,"[3, 29, 0]",0.0,34.0,activity_conceptual_modeling_correction → lecture_normalization → activity_conceptual_modeling
33.0,"[13, 3, 0]",0.0,34.0,documentation_programming → activity_conceptual_modeling_correction → activity_conceptual_modeling
32.0,"[3, 0, 29]",0.0,33.0,activity_conceptual_modeling_correction → activity_conceptual_modeling → lecture_normalization
32.0,"[14, 58, 0]",0.0,33.0,documentation_rdbms → practice_transaction → activity_conceptual_modeling
32.0,"[3, 0, 17]",0.0,33.0,activity_conceptual_modeling_correction → activity_conceptual_modeling → lecture_conceptual_modeling
32.0,"[3, 17, 0]",0.0,33.0,activity_conceptual_modeling_correction → lecture_conceptual_modeling → activity_conceptual_modeling
31.0,"[29, 29, 55]",0.0,32.0,lecture_normalization → lecture_normalization → practice_spring_2tiers_ext
30.0,"[32, 42, 17]",0.0,31.0,lecture_relational_model → practice_docker → lecture_conceptual_modeling
30.0,"[18, 3, 27]",0.0,31.0,lecture_db_integrity → activity_conceptual_modeling_correction → lecture_modeling_normalization
30.0,"[3, 58, 29]",0.0,31.0,activity_conceptual_modeling_correction → practice_transaction → lecture_normalization
30.0,"[10, 20, 25]",0.0,31.0,activity_sql → lecture_dto → lecture_jpa
30.0,"[8, 3, 27]",0.0,31.0,activity_relational_model → activity_conceptual_modeling_correction → lecture_modeling_normalization
30.0,"[3, 29, 58]",0.0,31.0,activity_conceptual_modeling_correction → lecture_normalization → practice_transaction
30.0,"[32, 42, 48]",0.0,31.0,lecture_relational_model → practice_docker → practice_jpa
30.0,"[3, 29, 35]",0.0,31.0,activity_conceptual_modeling_correction → lecture_normalization → lecture_transaction
30.0,"[3, 35, 29]",0.0,31.0,activity_conceptual_modeling_correction → lecture_transaction → lecture_normalization
30.0,"[14, 27, 20]",0.0,31.0,documentation_rdbms → lecture_modeling_normalization → lecture_dto
30.0,"[14, 35, 0]",0.0,31.0,documentation_rdbms → lecture_transaction → activity_conceptual_modeling
30.0,"[17, 3, 27]",0.0,31.0,lecture_conceptual_modeling → activity_conceptual_modeling_correction → lecture_modeling_normalization
30.0,"[14, 17, 20]",0.0,31.0,documentation_rdbms → lecture_conceptual_modeling → lecture_dto
29.0,"[3, 58, 0]",0.0,30.0,activity_conceptual_modeling_correction → practice_transaction → activity_conceptual_modeling
29.0,"[3, 29, 27]",0.0,30.0,activity_conceptual_modeling_correction → lecture_normalization → lecture_modeling_normalization
29.0,"[14, 3, 29]",0.0,30.0,documentation_rdbms → activity_conceptual_modeling_correction → lecture_normalization
29.0,"[14, 3, 48]",0.0,30.0,documentation_rdbms → activity_conceptual_modeling_correction → practice_jpa
29.0,"[20, 25, 55]",0.0,30.0,lecture_dto → lecture_jpa → practice_spring_2tiers_ext
29.0,"[14, 58, 20]",0.0,30.0,documentation_rdbms → practice_transaction → lecture_dto
29.0,"[17, 0, 51]",0.0,30.0,lecture_conceptual_modeling → activity_conceptual_modeling → practice_postgresql
29.0,"[3, 0, 48]",0.0,30.0,activity_conceptual_modeling_correction → activity_conceptual_modeling → practice_jpa
28.0,"[17, 26, 17]",0.0,29.0,lecture_conceptual_modeling → lecture_json → lecture_conceptual_modeling
28.0,"[3, 29, 20]",0.0,29.0,activity_conceptual_modeling_correction → lecture_normalization → lecture_dto
28.0,"[18, 3, 20]",0.0,29.0,lecture_db_integrity → activity_conceptual_modeling_correction → lecture_dto
28.0,"[13, 3, 27]",0.0,29.0,documentation_programming → activity_conceptual_modeling_correction → lecture_modeling_normalization
28.0,"[32, 42, 25]",0.0,29.0,lecture_relational_model → practice_docker → lecture_jpa
28.0,"[14, 51, 49]",0.0,29.0,documentation_rdbms → practice_postgresql → practice_jpa_advanced
28.0,"[14, 56, 20]",0.0,29.0,documentation_rdbms → practice_sql → lecture_dto
28.0,"[4, 48, 29]",0.0,29.0,activity_decomposition → practice_jpa → lecture_normalization
28.0,"[58, 37, 17]",0.0,29.0,practice_transaction → lecture_xml → lecture_conceptual_modeling
28.0,"[35, 20, 17]",0.0,29.0,lecture_transaction → lecture_dto → lecture_conceptual_modeling
28.0,"[3, 17, 54]",0.0,29.0,activity_conceptual_modeling_correction → lecture_conceptual_modeling → practice_spring_2tiers
28.0,"[4, 0, 17]",0.0,29.0,activity_decomposition → activity_conceptual_modeling → lecture_conceptual_modeling
28.0,"[27, 33, 55]",0.0,29.0,lecture_modeling_normalization → lecture_software_architecture → practice_spring_2tiers_ext
28.0,"[16, 32, 49]",0.0,29.0,inversion_of_control → lecture_relational_model → practice_jpa_advanced
28.0,"[3, 35, 0]",0.0,29.0,activity_conceptual_modeling_correction → lecture_transaction → activity_conceptual_modeling
28.0,"[8, 3, 20]",0.0,29.0,activity_relational_model → activity_conceptual_modeling_correction → lecture_dto
28.0,"[18, 34, 27]",0.0,29.0,lecture_db_integrity → lecture_technical_architecture → lecture_modeling_normalization
28.0,"[58, 17, 48]",0.0,29.0,practice_transaction → lecture_conceptual_modeling → practice_jpa
28.0,"[29, 17, 56]",0.0,29.0,lecture_normalization → lecture_conceptual_modeling → practice_sql
28.0,"[14, 3, 17]",0.0,29.0,documentation_rdbms → activity_conceptual_modeling_correction → lecture_conceptual_modeling
28.0,"[14, 3, 0]",0.0,29.0,documentation_rdbms → activity_conceptual_modeling_correction → activity_conceptual_modeling
28.0,"[14, 3, 25]",0.0,29.0,documentation_rdbms → activity_conceptual_modeling_correction → lecture_jpa
28.0,"[34, 3, 29]",0.0,29.0,lecture_technical_architecture → activity_conceptual_modeling_correction → lecture_normalization
28.0,"[58, 20, 17]",0.0,29.0,practice_transaction → lecture_dto → lecture_conceptual_modeling
28.0,"[14, 6, 20]",0.0,29.0,documentation_rdbms → activity_normalization → lecture_dto
28.0,"[12, 12, 49]",0.0,29.0,documentation_docker → documentation_docker → practice_jpa_advanced
27.0,"[10, 20, 0]",0.0,28.0,activity_sql → lecture_dto → activity_conceptual_modeling
27.0,"[29, 29, 37]",0.0,28.0,lecture_normalization → lecture_normalization → lecture_xml
27.0,"[34, 27, 3]",0.0,28.0,lecture_technical_architecture → lecture_modeling_normalization → activity_conceptual_modeling_correction
27.0,"[31, 29, 17]",0.0,28.0,lecture_relational_algebra → lecture_normalization → lecture_conceptual_modeling
27.0,"[43, 51, 55]",0.0,28.0,practice_docker_advanced → practice_postgresql → practice_spring_2tiers_ext
27.0,"[29, 26, 17]",0.0,28.0,lecture_normalization → lecture_json → lecture_conceptual_modeling
27.0,"[32, 51, 17]",0.0,28.0,lecture_relational_model → practice_postgresql → lecture_conceptual_modeling
27.0,"[34, 3, 17]",0.0,28.0,lecture_technical_architecture → activity_conceptual_modeling_correction → lecture_conceptual_modeling
27.0,"[32, 42, 0]",0.0,28.0,lecture_relational_model → practice_docker → activity_conceptual_modeling
27.0,"[3, 48, 49]",0.0,28.0,activity_conceptual_modeling_correction → practice_jpa → practice_jpa_advanced
27.0,"[34, 32, 49]",0.0,28.0,lecture_technical_architecture → lecture_relational_model → practice_jpa_advanced
27.0,"[3, 29, 56]",0.0,28.0,activity_conceptual_modeling_correction → lecture_normalization → practice_sql
27.0,"[12, 27, 18]",0.0,28.0,documentation_docker → lecture_modeling_normalization → lecture_db_integrity
27.0,"[3, 54, 0]",0.0,28.0,activity_conceptual_modeling_correction → practice_spring_2tiers → activity_conceptual_modeling
27.0,"[58, 17, 54]",0.0,28.0,practice_transaction → lecture_conceptual_modeling → practice_spring_2tiers
27.0,"[26, 29, 17]",0.0,28.0,lecture_json → lecture_normalization → lecture_conceptual_modeling
27.0,"[17, 0, 13]",0.0,28.0,lecture_conceptual_modeling → activity_conceptual_modeling → documentation_programming
27.0,"[14, 29, 42]",0.0,28.0,documentation_rdbms → lecture_normalization → practice_docker
27.0,"[0, 26, 17]",0.0,28.0,activity_conceptual_modeling → lecture_json → lecture_conceptual_modeling
27.0,"[51, 13, 3]",0.0,28.0,practice_postgresql → documentation_programming → activity_conceptual_modeling_correction
27.0,"[35, 25, 55]",0.0,28.0,lecture_transaction → lecture_jpa → practice_spring_2tiers_ext
27.0,"[3, 27, 0]",0.0,28.0,activity_conceptual_modeling_correction → lecture_modeling_normalization → activity_conceptual_modeling
27.0,"[56, 20, 0]",0.0,28.0,practice_sql → lecture_dto → activity_conceptual_modeling
