support,pattern
37,[69]
20,"[69, 66]"
20,"[69, 66, 13]"
20,"[69, 66, 53]"
20,"[69, 66, 12]"
20,"[69, 66, 42]"
17,"[69, 66, 15]"
15,"[69, 66, 16]"
19,"[69, 66, 51]"
13,"[69, 66, 68]"
16,"[69, 66, 14]"
20,"[69, 66, 70]"
17,"[69, 66, 62]"
18,"[69, 66, 34]"
18,"[69, 66, 33]"
19,"[69, 66, 28]"
18,"[69, 66, 54]"
20,"[69, 66, 69]"
13,"[69, 66, 66]"
18,"[69, 66, 25]"
16,"[69, 66, 48]"
15,"[69, 66, 20]"
17,"[69, 66, 37]"
14,"[69, 66, 26]"
13,"[69, 66, 50]"
15,"[69, 66, 60]"
12,"[69, 66, 64]"
18,"[69, 66, 32]"
18,"[69, 66, 18]"
18,"[69, 66, 8]"
16,"[69, 66, 27]"
17,"[69, 66, 17]"
18,"[69, 66, 0]"
18,"[69, 66, 29]"
17,"[69, 66, 6]"
19,"[69, 66, 10]"
19,"[69, 66, 56]"
18,"[69, 66, 35]"
16,"[69, 66, 58]"
13,"[69, 66, 49]"
14,"[69, 66, 43]"
15,"[69, 66, 4]"
37,"[69, 13]"
36,"[69, 13, 53]"
28,"[69, 13, 12]"
29,"[69, 13, 42]"
18,"[69, 13, 15]"
24,"[69, 13, 16]"
27,"[69, 13, 51]"
20,"[69, 13, 68]"
22,"[69, 13, 14]"
37,"[69, 13, 70]"
20,"[69, 13, 62]"
35,"[69, 13, 34]"
33,"[69, 13, 33]"
37,"[69, 13, 28]"
34,"[69, 13, 54]"
35,"[69, 13, 69]"
15,"[69, 13, 66]"
34,"[69, 13, 25]"
34,"[69, 13, 48]"
28,"[69, 13, 20]"
28,"[69, 13, 37]"
23,"[69, 13, 26]"
23,"[69, 13, 50]"
25,"[69, 13, 60]"
14,"[69, 13, 36]"
14,"[69, 13, 64]"
34,"[69, 13, 32]"
32,"[69, 13, 18]"
34,"[69, 13, 8]"
33,"[69, 13, 27]"
35,"[69, 13, 17]"
36,"[69, 13, 0]"
18,"[69, 13, 3]"
15,"[69, 13, 1]"
36,"[69, 13, 29]"
33,"[69, 13, 6]"
34,"[69, 13, 10]"
16,"[69, 13, 11]"
32,"[69, 13, 56]"
18,"[69, 13, 57]"
31,"[69, 13, 35]"
28,"[69, 13, 58]"
24,"[69, 13, 49]"
21,"[69, 13, 55]"
13,"[69, 13, 21]"
15,"[69, 13, 43]"
27,"[69, 13, 13]"
14,"[69, 13, 31]"
27,"[69, 13, 4]"
12,"[69, 13, 39]"
12,"[69, 13, 5]"
19,"[69, 13, 9]"
20,"[69, 13, 7]"
14,"[69, 13, 59]"
37,"[69, 53]"
24,"[69, 53, 12]"
26,"[69, 53, 42]"
17,"[69, 53, 15]"
18,"[69, 53, 16]"
26,"[69, 53, 51]"
16,"[69, 53, 68]"
19,"[69, 53, 14]"
36,"[69, 53, 70]"
18,"[69, 53, 62]"
34,"[69, 53, 34]"
32,"[69, 53, 33]"
35,"[69, 53, 28]"
34,"[69, 53, 54]"
35,"[69, 53, 69]"
13,"[69, 53, 66]"
33,"[69, 53, 25]"
33,"[69, 53, 48]"
27,"[69, 53, 20]"
28,"[69, 53, 37]"
21,"[69, 53, 26]"
21,"[69, 53, 50]"
24,"[69, 53, 60]"
13,"[69, 53, 36]"
13,"[69, 53, 64]"
33,"[69, 53, 32]"
31,"[69, 53, 18]"
33,"[69, 53, 8]"
32,"[69, 53, 27]"
34,"[69, 53, 17]"
34,"[69, 53, 0]"
19,"[69, 53, 3]"
14,"[69, 53, 1]"
35,"[69, 53, 29]"
32,"[69, 53, 6]"
32,"[69, 53, 10]"
16,"[69, 53, 11]"
30,"[69, 53, 56]"
17,"[69, 53, 57]"
29,"[69, 53, 35]"
27,"[69, 53, 58]"
24,"[69, 53, 49]"
21,"[69, 53, 55]"
12,"[69, 53, 21]"
12,"[69, 53, 43]"
25,"[69, 53, 13]"
29,"[69, 53, 53]"
13,"[69, 53, 31]"
25,"[69, 53, 4]"
12,"[69, 53, 5]"
19,"[69, 53, 9]"
20,"[69, 53, 7]"
14,"[69, 53, 59]"
35,"[69, 12]"
35,"[69, 12, 42]"
22,"[69, 12, 15]"
24,"[69, 12, 16]"
35,"[69, 12, 51]"
20,"[69, 12, 68]"
28,"[69, 12, 14]"
26,"[69, 12, 12]"
35,"[69, 12, 70]"
20,"[69, 12, 62]"
33,"[69, 12, 34]"
31,"[69, 12, 33]"
35,"[69, 12, 28]"
32,"[69, 12, 54]"
35,"[69, 12, 69]"
15,"[69, 12, 66]"
32,"[69, 12, 25]"
32,"[69, 12, 48]"
27,"[69, 12, 20]"
28,"[69, 12, 37]"
23,"[69, 12, 26]"
23,"[69, 12, 50]"
26,"[69, 12, 60]"
14,"[69, 12, 36]"
14,"[69, 12, 64]"
33,"[69, 12, 32]"
32,"[69, 12, 18]"
33,"[69, 12, 8]"
32,"[69, 12, 27]"
33,"[69, 12, 17]"
34,"[69, 12, 0]"
19,"[69, 12, 3]"
14,"[69, 12, 1]"
34,"[69, 12, 29]"
31,"[69, 12, 6]"
34,"[69, 12, 10]"
16,"[69, 12, 11]"
33,"[69, 12, 56]"
20,"[69, 12, 57]"
30,"[69, 12, 35]"
27,"[69, 12, 58]"
23,"[69, 12, 49]"
19,"[69, 12, 55]"
12,"[69, 12, 21]"
34,"[69, 12, 13]"
34,"[69, 12, 53]"
26,"[69, 12, 43]"
15,"[69, 12, 31]"
