support,pattern
53,[69]
49,"[69, 13]"
33,"[69, 13, 12]"
38,"[69, 13, 42]"
42,"[69, 13, 51]"
26,"[69, 13, 43]"
31,"[69, 13, 14]"
27,"[69, 13, 68]"
41,"[69, 13, 13]"
34,"[69, 13, 16]"
46,"[69, 13, 53]"
48,"[69, 13, 69]"
49,"[69, 13, 70]"
44,"[69, 13, 34]"
42,"[69, 13, 33]"
45,"[69, 13, 28]"
46,"[69, 13, 25]"
39,"[69, 13, 49]"
47,"[69, 13, 48]"
47,"[69, 13, 54]"
46,"[69, 13, 32]"
43,"[69, 13, 18]"
36,"[69, 13, 55]"
43,"[69, 13, 20]"
37,"[69, 13, 37]"
36,"[69, 13, 26]"
32,"[69, 13, 50]"
43,"[69, 13, 8]"
45,"[69, 13, 27]"
49,"[69, 13, 17]"
45,"[69, 13, 29]"
47,"[69, 13, 0]"
39,"[69, 13, 10]"
38,"[69, 13, 56]"
19,"[69, 13, 11]"
21,"[69, 13, 57]"
41,"[69, 13, 35]"
37,"[69, 13, 58]"
19,"[69, 13, 59]"
21,"[69, 13, 1]"
29,"[69, 13, 60]"
35,"[69, 13, 4]"
35,"[69, 13, 3]"
45,"[69, 13, 6]"
28,"[69, 13, 7]"
24,"[69, 13, 31]"
19,"[69, 13, 36]"
24,"[69, 13, 9]"
16,"[69, 13, 65]"
20,"[69, 13, 63]"
52,"[69, 12]"
52,"[69, 12, 42]"
51,"[69, 12, 51]"
36,"[69, 12, 43]"
41,"[69, 12, 14]"
26,"[69, 12, 68]"
47,"[69, 12, 13]"
32,"[69, 12, 16]"
44,"[69, 12, 53]"
52,"[69, 12, 69]"
44,"[69, 12, 12]"
52,"[69, 12, 70]"
46,"[69, 12, 34]"
46,"[69, 12, 33]"
47,"[69, 12, 28]"
48,"[69, 12, 25]"
39,"[69, 12, 49]"
49,"[69, 12, 48]"
50,"[69, 12, 54]"
51,"[69, 12, 32]"
47,"[69, 12, 18]"
36,"[69, 12, 55]"
46,"[69, 12, 20]"
38,"[69, 12, 37]"
39,"[69, 12, 26]"
34,"[69, 12, 50]"
48,"[69, 12, 8]"
50,"[69, 12, 27]"
52,"[69, 12, 17]"
49,"[69, 12, 29]"
17,"[69, 12, 21]"
51,"[69, 12, 0]"
45,"[69, 12, 10]"
42,"[69, 12, 56]"
23,"[69, 12, 11]"
24,"[69, 12, 57]"
45,"[69, 12, 35]"
42,"[69, 12, 58]"
23,"[69, 12, 59]"
24,"[69, 12, 1]"
31,"[69, 12, 60]"
37,"[69, 12, 4]"
39,"[69, 12, 3]"
48,"[69, 12, 6]"
33,"[69, 12, 7]"
28,"[69, 12, 31]"
17,"[69, 12, 5]"
20,"[69, 12, 36]"
28,"[69, 12, 9]"
20,"[69, 12, 65]"
18,"[69, 12, 67]"
23,"[69, 12, 63]"
52,"[69, 42]"
50,"[69, 42, 51]"
36,"[69, 42, 43]"
40,"[69, 42, 14]"
26,"[69, 42, 68]"
47,"[69, 42, 13]"
32,"[69, 42, 16]"
44,"[69, 42, 53]"
52,"[69, 42, 69]"
43,"[69, 42, 12]"
52,"[69, 42, 70]"
46,"[69, 42, 34]"
46,"[69, 42, 33]"
47,"[69, 42, 28]"
48,"[69, 42, 25]"
39,"[69, 42, 49]"
49,"[69, 42, 48]"
50,"[69, 42, 54]"
51,"[69, 42, 32]"
47,"[69, 42, 18]"
36,"[69, 42, 55]"
46,"[69, 42, 20]"
38,"[69, 42, 37]"
39,"[69, 42, 26]"
34,"[69, 42, 50]"
48,"[69, 42, 8]"
50,"[69, 42, 27]"
52,"[69, 42, 17]"
49,"[69, 42, 29]"
17,"[69, 42, 21]"
51,"[69, 42, 0]"
45,"[69, 42, 10]"
42,"[69, 42, 56]"
23,"[69, 42, 11]"
24,"[69, 42, 57]"
45,"[69, 42, 35]"
42,"[69, 42, 58]"
23,"[69, 42, 59]"
24,"[69, 42, 1]"
31,"[69, 42, 60]"
37,"[69, 42, 4]"
39,"[69, 42, 3]"
48,"[69, 42, 6]"
33,"[69, 42, 7]"
28,"[69, 42, 31]"
17,"[69, 42, 5]"
45,"[69, 42, 42]"
20,"[69, 42, 36]"
27,"[69, 42, 9]"
20,"[69, 42, 65]"
17,"[69, 42, 67]"
23,"[69, 42, 63]"
52,"[69, 51]"
28,"[69, 51, 43]"
38,"[69, 51, 14]"
26,"[69, 51, 68]"
46,"[69, 51, 13]"
30,"[69, 51, 16]"
42,"[69, 51, 53]"
51,"[69, 51, 69]"
40,"[69, 51, 12]"
52,"[69, 51, 70]"
45,"[69, 51, 34]"
45,"[69, 51, 33]"
46,"[69, 51, 28]"
47,"[69, 51, 25]"
40,"[69, 51, 49]"
48,"[69, 51, 48]"
49,"[69, 51, 54]"
50,"[69, 51, 32]"
46,"[69, 51, 18]"
37,"[69, 51, 55]"
45,"[69, 51, 20]"
39,"[69, 51, 37]"
38,"[69, 51, 26]"
34,"[69, 51, 50]"
47,"[69, 51, 8]"
49,"[69, 51, 27]"
52,"[69, 51, 17]"
48,"[69, 51, 29]"
17,"[69, 51, 21]"
50,"[69, 51, 0]"
44,"[69, 51, 10]"
42,"[69, 51, 56]"
22,"[69, 51, 11]"
23,"[69, 51, 57]"
