id,site_id,site_latitude,site_longitude,city,country,date,hour,sulphurdioxide_so2_column_number_density,sulphurdioxide_so2_column_number_density_amf,sulphurdioxide_so2_slant_column_number_density,sulphurdioxide_cloud_fraction,sulphurdioxide_sensor_azimuth_angle,sulphurdioxide_sensor_zenith_angle,sulphurdioxide_solar_azimuth_angle,sulphurdioxide_solar_zenith_angle,sulphurdioxide_so2_column_number_density_15km,month,carbonmonoxide_co_column_number_density,carbonmonoxide_h2o_column_number_density,carbonmonoxide_cloud_height,carbonmonoxide_sensor_altitude,carbonmonoxide_sensor_azimuth_angle,carbonmonoxide_sensor_zenith_angle,carbonmonoxide_solar_azimuth_angle,carbonmonoxide_solar_zenith_angle,nitrogendioxide_no2_column_number_density,nitrogendioxide_tropospheric_no2_column_number_density,nitrogendioxide_stratospheric_no2_column_number_density,nitrogendioxide_no2_slant_column_number_density,nitrogendioxide_tropopause_pressure,nitrogendioxide_absorbing_aerosol_index,nitrogendioxide_cloud_fraction,nitrogendioxide_sensor_altitude,nitrogendioxide_sensor_azimuth_angle,nitrogendioxide_sensor_zenith_angle,nitrogendioxide_solar_azimuth_angle,nitrogendioxide_solar_zenith_angle,formaldehyde_tropospheric_hcho_column_number_density,formaldehyde_tropospheric_hcho_column_number_density_amf,formaldehyde_hcho_slant_column_number_density,formaldehyde_cloud_fraction,formaldehyde_solar_zenith_angle,formaldehyde_solar_azimuth_angle,formaldehyde_sensor_zenith_angle,formaldehyde_sensor_azimuth_angle,uvaerosolindex_absorbing_aerosol_index,uvaerosolindex_sensor_altitude,uvaerosolindex_sensor_azimuth_angle,uvaerosolindex_sensor_zenith_angle,uvaerosolindex_solar_azimuth_angle,uvaerosolindex_solar_zenith_angle,ozone_o3_column_number_density,ozone_o3_column_number_density_amf,ozone_o3_slant_column_number_density,ozone_o3_effective_temperature,ozone_cloud_fraction,ozone_sensor_azimuth_angle,ozone_sensor_zenith_angle,ozone_solar_azimuth_angle,ozone_solar_zenith_angle,uvaerosollayerheight_aerosol_height,uvaerosollayerheight_aerosol_pressure,uvaerosollayerheight_aerosol_optical_depth,uvaerosollayerheight_sensor_zenith_angle,uvaerosollayerheight_sensor_azimuth_angle,uvaerosollayerheight_solar_azimuth_angle,uvaerosollayerheight_solar_zenith_angle,cloud_cloud_fraction,cloud_cloud_top_pressure,cloud_cloud_top_height,cloud_cloud_base_pressure,cloud_cloud_base_height,cloud_cloud_optical_depth,cloud_surface_albedo,cloud_sensor_azimuth_angle,cloud_sensor_zenith_angle,cloud_solar_azimuth_angle,cloud_solar_zenith_angle,pm2_5
id_vjcx08sz91,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-10-25,13,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05230080336332171,828817.9374999763,-100.80514526367188,21.720518112182617,-123.52379608154298,33.74591445922852,0.12205491214990266,2.3014037609099685,0.2858027815818705,230.69375610350903,0.9060392379760482,-100.80514526367188,21.720518112182617,-123.52379608154298,33.74591445922852,,,,,,,,,,,,,,,,,,,12.015
id_bkg215syli,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-02,12,,,,,,,,,,11.0,0.045475276933952764,3771.027210467723,3399.75684527907,828569.6238062604,69.24535082958508,59.1596946834736,-143.37057538316276,26.566997473264017,,,,,,,,,,,,,0.00021404463041108145,1.4623903036117583,0.00024002141435630668,0.35914987325668407,26.525512695312504,-143.48016357421875,59.220096588134766,70.8759536743164,-0.3152063488960272,828578.6250000016,70.8759536743164,59.220096588134766,-143.48016357421875,26.525512695312504,0.11697478592395806,3.0499017238617006,0.36220332980156017,228.2601928710942,0.3647132515907295,70.8759536743164,59.220096588134766,-143.48016357421875,26.525512695312504,,,,,,,,,,,,,,,,,,,42.2672
id_oui2pot3qd,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-03,13,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0978158712387107,828878.6875000016,-96.41194152832031,61.04500961303711,-121.30712127685548,41.89811325073242,0.11755933612585091,3.248702764511115,0.3841677904129036,224.10246276855514,0.7541627883911148,-96.41194152832031,61.04500961303711,-121.30712127685548,41.89811325073242,,,,,,,,0.7563918871573639,45185.499589698775,6791.68288790298,51171.80248564955,5791.682829397136,11.816715046824454,0.1927570952348716,-96.41188990612474,61.04512277641219,-121.30741441488706,41.89826925713596,39.450740740740734
id_9aandqzy4n,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-08,14,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5915434360504163,828920.6875000016,-95.86308288574219,65.50885772705078,-122.21823120117188,43.92303848266601,0.11841150373220467,3.505708456039436,0.4166429638862618,226.52963256835983,1.000000000000002,-95.86308288574219,65.50885772705078,-122.21823120117188,43.92303848266601,,,,,,,,,,,,,,,,,,,10.5376
id_ali5x2m4iw,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-09,13,0.00026664274628274197,0.7746557593345658,0.00020655633124988567,0.2234028130769734,-97.81124114990234,49.513343811035156,-126.06446838378906,40.167335510253906,8.34651073091665e-05,11.0,0.049045358049038694,3514.042053546603,1678.3704776314657,828902.7904500046,-96.09963945205465,49.43279618906738,-126.07074709795378,40.144183395736746,9.729244629852493e-05,6.261395901674417e-05,3.467848728178076e-05,0.0001746908674249429,9582.712645221001,0.0696668773889543,0.14291334152221707,828919.0000000016,-97.81124114990234,49.513343811035156,-126.06446838378906,40.167335510253906,0.00010005219519371187,1.2984325885772732,6.788493192289038e-05,0.2234028130769734,40.167335510253906,-126.06446838378906,49.513343811035156,-97.81124114990234,0.06966935843229308,828919.0000000016,-97.81124114990234,49.513343811035156,-126.06446838378906,40.167335510253906,0.11789920181036019,2.79607248306275,0.3342564702034003,226.36885070800827,0.22615045309066817,-97.81124114990234,49.513343811035156,-126.06446838378906,40.167335510253906,,,,,,,,0.22614058852196664,86197.53125000352,1451.0506591797468,96215.90625000393,451.05059814454967,10.52100944519086,0.15311411023140578,-97.81124114990234,49.5134391784668,-126.06445312499999,40.167354583740234,19.431730769230768
id_iwv3za16vc,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-10,13,-0.0001299985211722296,0.6832523018668016,-8.882177993802589e-05,0.1444300320933749,-100.80912017822266,21.720834732055664,-130.62025451660156,36.651397705078125,1.2801368018814043e-05,11.0,0.04232104867696935,3150.1467285157537,1568.0789794922516,828886.1875000339,-97.75070190429688,21.72945785522461,-130.6295623779297,36.65938568115235,0.00012850061264014804,9.872796751558042e-05,3.479691832192677e-05,0.00018470334111417034,9582.70281307073,-0.24054167319569986,0.1639205569429918,828897.1874999946,-100.82659196253933,21.541786907633917,-130.63914781481054,36.63157495547654,0.00023680845444924256,1.3420555718808471,0.00023370327167879863,0.330214511562113,36.63157495547654,-130.63914781481054,21.541786907633917,-100.82659196253933,-0.2405642172865935,828897.1874999946,-100.82659196253933,21.541786907633917,-130.63914781481054,36.63157495547654,0.11813957636756209,2.3339152661402105,0.28058717406991457,232.38039365505978,0.3315642076985674,-100.82659196253933,21.541786907633917,-130.63914781481054,36.63157495547654,,,,,,,,,,,,,,,,,,,42.032250000000005
id_jsxdghr248,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-11,13,1.8499575811537835e-05,1.0934465703904945,1.4874041704772153e-05,0.22943742055225877,75.78687846841748,17.14685754571166,-136.15209981783545,33.427488053918424,6.96896819402676e-06,11.0,0.04875140579257158,2808.6728893832087,302.1015747806407,828814.0076469729,71.95971938812433,17.04837627563897,-136.10457027742228,33.44162145953343,,,,,,,,,,,,,0.00014907565414299447,1.5178101712009755,0.00015976326656968,0.22943742055225877,33.427488053918424,-136.15209981783545,17.14685754571166,75.78687846841748,-0.07200442324963814,828821.4374999694,75.78687846841748,17.14685754571166,-136.15209981783545,33.427488053918424,0.11857018755194951,2.283736531739857,0.27533533157948725,230.1452309297909,0.23330129990834975,75.78687846841748,17.14685754571166,-136.15209981783545,33.427488053918424,,,,,,,,,,,,,,,,,,,26.41766666666667
id_275xmh4mpv,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-15,13,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1601767092943208,828962.1250000085,-99.72452545166016,32.50361633300781,-131.06263732910156,38.500556945800774,0.11698248982429624,2.45870447158816,0.29161494970321955,227.81904602051014,1.0000000000000102,-99.72452545166016,32.50361633300781,-131.06263732910156,38.500556945800774,,,,,,,,,,,,,,,,,,,272.09142857142854
id_ym8cixcegi,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-16,13,0.00016250973063220152,0.3343185396330413,5.399753056827064e-05,0.11427371616896578,77.07142454742872,4.322930316379084,-136.25802547804759,35.26561953048531,2.5559146274349038e-05,11.0,0.05166317286092044,4074.378866684397,3821.4982539057028,828899.9919506926,63.66281700134277,4.785194158554077,-136.26689910888672,35.231985092163086,0.00010997469773164469,7.51955139330692e-05,3.477918328886748e-05,0.00014132032567518892,7311.869045627758,-0.3443031064438972,0.09776336150176902,828906.5596202327,77.07143309890967,4.32291721316696,-136.2660061472269,35.26987946739109,0.00010334792097962635,0.9077720310071915,3.378887164040482e-05,0.11427371616896578,35.26561953048531,-136.25802547804759,4.322930316379084,77.07142454742872,-0.3443029199326032,828906.5596202327,77.07143309890967,4.32291721316696,-136.2660061472269,35.26987946739109,0.1178509171745501,2.247013444010764,0.26832025630812,233.75619382712972,0.11836664866576482,77.07142454742872,4.322930316379084,-136.25802547804759,35.26561953048531,,,,,,,,,,,,,,,,,,,123.559
id_02mf0t6b64,6531a46a89b3300013914a36,6.53257,3.39936,Lagos,Nigeria,2023-11-17,12,0.0001136866558226759,0.5958911180496228,6.774486973881735e-05,0.07544291764497772,73.51812744140625,38.77960586547851,-142.40333557128906,32.381629943847656,2.8700651455437822e-05,11.0,0.05100317132729609,2979.2042477418668,1225.0502124313618,828806.4373118886,71.57083975056564,38.656194555773986,-142.33330061580122,32.405182136692574,0.00014124540030024973,0.00010735471005318708,3.3890697523020276e-05,0.00021836489031557037,7311.869140625015,0.9168208241462726,0.0965382382273676,828813.9375000016,73.51812744140625,38.77960586547851,-142.40333557128906,32.381629943847656,0.00033595712739043003,1.0749839544296287,0.00029512919718399704,0.07544291764497772,32.381629943847656,-142.40333557128906,38.77960586547851,73.51812744140625,0.9168242216110248,828813.9375000016,73.51812744140625,38.77960586547851,-142.40333557128906,32.381629943847656,0.11555856466293359,2.5111243724823047,0.2961544394493109,233.88278198242233,0.07853437960147873,73.51812744140625,38.77960586547851,-142.40333557128906,32.381629943847656,,,,,,,,0.07515717297792741,63377.94140625259,4058.409667968916,71396.87500000291,3058.409667968875,4.432883739471617,0.21450453996659202,73.51811981201172,38.77952575683594,-142.4033203125,32.38164138793945,154.90980000000002
